date,tI,tO,tC,tM,tF,tS
2012-08-01,2.00,8.50,1.50,2.75,2.00,7.0
2012-08-02,2.00,7.00,2.50,3.25,2.00,6.0
2012-08-03,0.75,4.75,2.75,2.00,0.75,6.0
2012-08-06,0.00,7.75,2.25,4.75,2.50,8.0
2012-08-07,0.50,7.50,2.00,3.50,2.75,7.0
2012-08-08,1.00,5.50,3.00,3.00,3.25,7.0
2012-08-09,0.00,7.25,2.00,1.75,3.25,7.0
2012-08-10,0.00,6.50,0.50,1.00,5.00,7.0
2012-08-13,0.00,8.00,0.50,3.25,3.75,6.5
2012-08-14,0.00,7.25,0.00,2.75,2.50,7.0
2012-08-15,3.25,6.50,0.00,2.00,3.75,7.0
2012-08-16,2.00,6.50,1.25,3.00,4.00,7.0
2012-08-17,2.50,6.25,1.00,2.50,5.00,7.0
2012-08-17,0.75,10.75,0.0,4.00,1.00,7.0
2012-08-21,3.00,4.00,1.75,3.00,3.50,7.0
2012-08-22,0.00,7.75,1.50,3.00,3.00,7.0
2012-08-23,0.00,8.25,4.00,2.00,1.50,7.0
2012-08-29,2.00,4.50,3.25,2.00,2.75,7.0
2012-08-30,1.00,4.25,5.00,3.75,1.00,7.0
2012-08-31,1.00,4.00,9.00,0.00,3.25,7.0
