date,tI,tO,tC,tM,tF,tS
2012-03-01,3.75,4.50,2.00,3.50,4.25,6.0
2012-03-02,5.75,2.25,0.00,3.00,5.00,6.0
2012-03-05,0.00,8.75,1.00,3.25,6.00,6.0
2012-03-06,4.00,1.25,2.00,4.00,6.50,6.0
2012-03-07,2.00,5.50,1.00,4.00,5.00,6.0
2012-03-08,0.75,6.00,5.00,3.00,2.50,6.0
2012-03-09,0.00,7.50,1.74,1.75,4.50,6.0
2012-03-12,2.50,2.50,1.00,5.75,4.00,6.0
2012-02-13,1.75,3.00,6.25,4.75,0.75,6.0
2012-03-14,0.00,4.75,1.25,5.25,4.50,6.0
2012-03-15,0.00,2.00,0.50,7.50,2.50,6.0
2012-03-16,2.00,5.00,0.00,5.75,4.50,7.0
2012-03-19,0.00,3.00,2.00,6.00,4.50,6.0
2012-03-20,1.00,7.00,2.50,3.50,4.50,7.0
2012-03-21,0.00,4.25,1.25,7.00,4.00,7.0
2012-03-22,1.50,2.75,3.00,8.00,2.25,7.0
2012-03-23,1.00,5.00,0.00,7.00,4.50,7.0
2012-03-26,2.75,1.00,0.00,8.00,7.00,7.0
2012-03-27,1.00,8.00,2.00,1.25,3.00,7.0
2012-03-28,0.00,7.25,0.00,1.50,9.50,6.0
2012-03-29,4.00,0.00,2.75,3.75,8.00,5.0
2012-03-30,6.00,1.50,0.00,4.50,8.50,6.0
2012-03-31,6.25,1.00,0.00,4.25,7.00,6.0
