date,tI,tO,tC,tM,tF,tS
2012-02-01,0.00,3.50,1.25,7.75,5.00,5.5
2012-02-02,1.50,3.75,5.75,5.50,1.00,6.5
2012-02-03,1.00,0.50,3.75,6.50,5.50,6.0
2012-02-06,0.00,4.75,1.75,4.00,5.50,7.0
2012-02-07,1.50,2.00,4.00,6.00,4.50,6.5
2012-02-08,0.00,3.75,1.50,6.75,4.50,6.0
2012-02-09,1.50,2.75,6.00,3.50,1.25,7.0
2012-02-10,0.00,3.50,0.50,5.00,4.50,6.0
2012-02-13,2.00,8.75,2.50,1.00,4.50,6.0
2012-02-14,1.25,3.00,1.75,6.50,4.50,5.0
2012-02-15,4.00,4.00,1.75,1.00,5.50,6.0
2012-02-16,3.50,4.25,3.00,5.75,1.00,6.0
2012-02-17,1.25,1.50,3.00,6.00,4.50,6.0
2012-02-20,3.50,2.50,0.50,6.00,5.50,6.0
2012-02-21,3.25,1.00,1.00,7.75,4.50,6.0
2012-02-22,2.25,3.25,0.00,5.50,4.50,6.0
2012-02-23,0.00,5.75,2.75,6.75,1.00,6.0
2012-02-24,5.75,0.00,0.00,7.25,4.50,6.0
2012-02-27,0.75,3.50,1.25,7.00,4.50,7.0
2012-02-28,0.50,7.25,0.00,4.00,4.50,7.0
2012-02-29,3.25,4.75,1.00,4.00,4.00,6.0
