date,tI,tO,tC,tM,tF,tS
2011-03-01,0.00,2.50,2.50,4.00,2.50,7.50
2011-03-02,3.25,0.75,5.25,7.50,5.75,5.50
2011-03-03,0.00,4.50,0.50,5.50,5.00,7.00
2011-03-04,3.00,4.50,0.50,4.00,4.50,7.00
2011-03-07,0.00,5.00,5.00,2.00,4.00,7.00
2011-03-08,0.00,7.50,2.50,3.00,5.00,7.00
2011-03-09,0.00,7.00,1.00,6.50,1.00,6.00
2011-03-10,0.00,3.00,4.50,4.00,2.50,7.00
2011-03-11,1.00,12.5,0.00,3.00,1.50,7.00
2011-03-12,1.00,6.50,1.00,5.50,1.50,5.00
2011-03-14,0.00,5.75,3.50,2.50,1.75,7.00
2011-03-15,5.00,1.50,1.75,7.25,1.00,7.50
2011-03-16,3.00,5.00,1.00,5.00,2.00,6.50
2011-03-17,0.00,4.50,0.00,7.50,1.50,6.50
2011-03-21,1.75,2.25,0.00,10.0,1.00,7.00
2011-03-22,0.00,4.75,3.25,5.50,3.00,7.00
2011-03-23,0.00,8.50,2.00,2.00,2.00,6.50
2011-03-24,2.75,5.25,0.00,6.25,1.50,7.00
2011-03-25,0.75,5.00,2.50,6.25,2.00,6.00
2011-03-26,2.25,1.00,0.00,7.50,3.75,6.50
2011-03-28,2.60,2.75,0.40,6.00,2.00,7.00
2011-03-29,4.75,4.50,2.50,3.50,1.00,5.00
2011-03-30,0.00,6.75,1.50,4.75,3.50,6.50
2011-03-31,0.00,10.0,2.50,3.50,1.00,6.50
