date,tI,tO,tC,tM,tF,tS
2011-04-01,0.00,1.00,3.75,7.75,4.25,6.50
2011-04-06,0.00,3.00,3.25,6.50,4.25,7.00
2011-04-07,3.25,3.25,2.50,10.0,1.50,7.00
2011-04-08,4.00,4.00,0.00,8.00,1.50,5.50
2011-04-09,0.00,6.25,0.00,6.75,4.00,7.00
2011-04-11,0.00,5.00,6.00,4.50,1.00,7.00
2011-04-12,1.00,6.50,1.50,7.00,1.50,6.50
2011-04-13,1.25,3.75,0.00,7.50,4.00,7.50
2011-04-14,2.75,4.00,2.00,6.75,1.00,7.00
2011-04-15,2.75,2.00,0.00,7.50,4.25,7.50
2011-04-18,0.00,3.75,2.25,7.75,4.00,7.00
2011-04-19,4.75,4.00,1.25,5.75,1.50,7.00
2011-04-20,0.00,4.50,2.00,6.25,1.00,7.00
2011-04-21,1.50,4.00,2.00,4.00,1.00,6.00
2011-04-22,1.00,6.25,0.00,8.75,1.00,7.00
2011-04-23,4.00,0.00,1.00,6.00,4.00,7.00
2011-04-25,0.00,2.75,2.00,5.25,4.50,6.50
2011-04-26,0.00,2.00,0.00,6.25,7.00,7.00
2011-04-27,2.00,4.50,0.00,4.50,7.00,7.00
2011-04-28,1.50,5.50,4.00,2.50,1.00,7.00
2011-04-29,1.50,3.50,0.00,6.50,4.00,7.00
