date,tI,tO,tC,tM,tF,tS
2013-02-01,4.00,2.00,5.50,2.00,1.00,1.0
2013-02-02,0.00,4.00,2.00,4.00,3.00,9.0
2013-02-04,5.75,4.25,4.25,2.25,1.00,7.0
2013-02-18,0.00,3.00,1.50,0.50,8.00,8.0
2013-02-19,0.00,2.75,2.00,1.25,10.25,7.
2013-02-20,0.00,3.75,3.00,0.00,9.50,7.0
2013-02-21,3.25,1.50,3.75,1.00,7.00,7.0
2013-02-22,4.25,0.75,0.00,4.75,6.75,7.0
2013-02-25,0.00,6.75,0.75,2.00,6.50,7.0
2013-02-26,0.00,2.00,2.25,3.75,7.50,9.0
2013-02-27,2.00,4.25,0.00,2.00,7.50,6.0
2013-02-28,1.50,4.50,3.00,1.00,6.00,7.0
