date,tI,tO,tC,tM,tF,tS
2011-12-01,0.00,6.00,0.75,5.25,5.00,7.0
2011-12-07,1.00,3.25,1.00,5.75,5.50,6.0
2011-12-08,1.50,3.00,1.75,5.00,6.50,6.0
2011-12-09,1.50,0.00,1.00,5.00,9.00,7.0
2011-12-12,3.00,5.25,0.00,6.25,4.00,7.0
2011-12-13,0.00,2.50,1.00,8.00,7.50,7.5
2011-12-14,0.00,0.00,0.00,13.5,4.50,6.0
2011-12-15,3.50,3.25,4.25,6.75,5.00,6.0
2011-12-19,4.75,3.50,1.50,2.50,4.50,6.0
2011-12-20,1.00,4.75,5.00,3.00,5.50,5.5
2011-12-21,3.00,4.00,1.00,5.00,4.50,5.0
2011-12-22,4.50,0.00,4.00,5.00,1.00,7.0
2011-12-23,1.00,5.75,1.00,5.50,5.50,7.0
2011-12-26,1.25,1.75,2.00,3.50,8.00,6.0
2011-12-27,2.50,2.00,1.25,6.00,1.50,4.0
2011-12-28,2.50,3.50,0.00,6.50,4.00,8.0
2011-12-29,1.00,4.25,3.00,6.75,1.00,7.0
2011-12-30,3.00,2.50,0.50,6.00,3.50,7.0
2011-12-31,6.50,0.00,0.50,5.00,5.00,7.0
