date,tI,tO,tC,tM,tF,tS
2010-09-01,1.75,6.75,1.0,4.0,4.25,5.5
2010-09-02,3.5,4.75,2.25,6.5,1.5,5.5
2010-09-03,3.0,0.5,2.5,4.5,6.5,5.5
2010-09-06,2.75,1.75,0.0,7.0,3.5,6.5
2010-09-07,1.0,4.0,3.0,6.0,5.0,5.0
2010-09-08,2.5,6.0,3.0,4.0,1.5,5.5
2010-09-09,4.5,5.0,1.5,4.5,1.5,5.5
2010-09-10,2.75,2.5,0.0,7.75,5.0,5.0
2010-09-13,1.5,7.0,1.5,3.5,5.0,6.5
2010-09-14,3.0,5.25,1.5,2.0,5.0,6.0
2010-09-15,1.5,3.25,4.25,4.0,5.0,6.5
2010-09-16,0.0,5.75,5.5,4.5,2.0,5.5
2010-09-17,0.0,8.75,1.0,3.25,5.0,5.5
2010-09-18,0.0,3.0,3.25,7.25,1.5,6.0
2010-09-19,6.5,0.0,0.0,4.25,2.25,6.0
2010-09-20,0.0,2.5,3.25,5.25,5.0,6.0
2010-09-25,0.0,1.5,1.5,9.0,5.0,7.0
2010-09-26,1.0,4.5,0.5,5.0,5.0,6.0
2010-09-27,2.5,7.0,1.0,2.5,5.0,6.0
2010-09-28,0.0,4.0,0.0,5.5,5.5,6.0
2010-09-29,0.0,0.0,2.0,11.5,2.0,7.0
