date,tI,tO,tC,tM,tF,tS
2011-06-01,0.00,2.75,1.00,6.00,5.75,10.0
2011-06-02,1.00,2.00,3.00,8.50,1.00,6.50
2011-06-03,1.00,2.50,2.00,6.50,4.00,7.50
2011-06-07,1.75,1.75,0.00,8.25,5.00,7.50
2011-06-08,0.00,0.00,0.00,3.00,13.0,8.00
2011-06-09,2.00,3.00,2.00,4.00,1.50,11.0
2011-06-10,0.50,4.00,0.75,3.75,6.75,8.25
2011-06-13,1.00,3.50,1.00,6.25,4.00,8.00
2011-06-14,3.25,2.75,0.00,4.75,5.25,8.00
2011-06-15,1.00,2.50,1.50,6.00,6.00,8.00
2011-06-16,0.00,3.25,0.75,6.50,6.00,7.00
2011-06-17,1.50,2.25,2.00,5.00,4.00,7.50
2011-06-20,1.00,2.50,0.00,8.50,1.00,7.50
2011-06-21,0.00,3.00,1.00,8.00,1.00,7.50
2011-06-22,0.00,3.50,1.00,7.00,5.00,7.50
2011-06-27,2.00,1.00,0.50,6.00,5.50,9.50
2011-06-28,1.00,1.50,2.50,5.50,5.75,6.00
