活动类别,持续时间,Percent
Livin,424:45,61.0
Livin/家务,78:02,11.2
Livin/睡眠,212:07,30.5
Livin/交通,73:57,10.6
Livin/用餐,44:45,6.4
Livin/购物,06:52,1.0
Livin/Air,07:46,1.1
Livin/就医,01:00,0.1
Works ,112:25,16.2
Works /GDG,24:22,3.5
Works /Pt0,26:01,3.7
Works /交流,36:45,5.3
Works /工作,20:19,2.9
Works /OBP,04:56,0.7
Chaos,97:51,14.1
Life,60:21,8.7
Life/学习,11:36,1.7
Life/阅读,08:50,1.3
Life/电影,10:18,1.5
Life/上网,01:45,0.3
Life/娱乐,23:53,3.4
Life/运动,03:59,0.6
其他,00:14,0.0
总计,695:59
