date,tI,tO,tC,tM,tF,tS
2012-11-01,2.00,1.75,4.75,6.25,4.00,5.0
2012-11-02,0.75,5.50,3.75,1.00,4.00,7.0
2012-11-05,0.00,7.00,3.25,2.50,4.00,7.0
2012-11-06,0.00,7.25,0.00,4.50,3.00,5.0
2012-11-07,0.00,5.50,1.75,1.00,6.00,7.0
2012-11-15,3.50,4.00,2.00,3.50,5.00,7.0
2012-11-16,0.00,4.00,2.25,4.00,3.50,6.0
2012-11-19,1.00,4.25,1.00,3.25,7.75,8.0
2012-11-20,0.00,1.25,2.50,2.00,10.0,7.0
2012-11-21,1.75,2.00,2.75,2.75,7.00,8.0
2012-11-22,0.00,6.75,0.00,3.50,5.25,7.0
2012-11-23,0.00,1.75,3.00,2.25,6.00,7.0
2012-11-26,0.00,1.50,4.75,2.25,8.50,7.0
2012-11-27,0.00,4.00,1.50,2.00,6.75,7.0
2012-11-28,2.25,0.50,0.00,3.50,10.75,7.
2012-11-29,0.00,3.75,1.00,4.25,7.50,7.0
2012-11-30,0.00,0.50,0.00,3.00,13.0,8.0
