date,tI,tO,tC,tM,tF,tS
2012-10-10,0.00,2.25,4.00,4.75,4.25,7.0
2012-10-11,0.00,2.50,2.50,2.75,7.75,7.0
2012-10-12,0.00,2.50,6.00,3.00,4.00,7.0
2012-10-15,0.00,6.00,1.75,4.50,4.00,7.0
2012-10-16,0.00,4.50,0.75,4.00,6.00,5.0
2012-10-17,0.00,3.25,1.75,6.00,5.00,6.0
2012-10-18,0.00,5.50,4.50,3.00,4.50,6.0
2012-10-19,0.00,2.50,4.50,2.50,4.50,6.0
2012-10-22,0.75,4.50,4.00,2.50,4.00,7.0
2012-10-23,1.00,5.00,2.50,2.00,6.00,8.0
2012-10-24,0.00,7.00,0.00,5.00,4.00,7.0
2012-10-25,2.00,5.00,0.00,1.00,6.00,7.0
2012-10-29,0.00,5.50,2.00,4.00,4.00,8.0
2012-10-30,0.00,4.50,5.00,2.50,4.00,8.0
2012-10-31,1.00,6.50,0.00,2.50,5.00,7.0
