date,tI,tO,tC,tM,tF,tS
2011-05-03,4.00,4.75,2.00,1.75,3.50,8.00
2011-05-04,1.25,4.50,2.25,2.50,5.00,7.00
2011-05-05,0.00,1.75,4.75,3.00,6.00,7.00
2011-05-06,1.75,2.25,1.00,5.50,4.00,7.50
2011-05-07,1.50,3.50,0.00,7.25,4.00,8.50
2011-05-09,3.00,3.50,0.00,6.50,3.50,8.00
2011-05-10,5.00,2.75,2.25,4.50,2.50,7.50
2011-05-11,3.00,4.75,1.25,3.25,5.50,7.00
2011-05-12,1.50,7.25,3.25,4.00,4.00,6.50
2011-05-13,0.00,4.75,0.00,6.75,5.50,7.00
2011-05-16,0.00,6.00,0.00,4.50,3.50,7.00
2011-05-17,0.00,5.50,1.00,4.50,4.25,7.50
2011-05-18,2.75,3.25,1.50,4.00,3.75,8.00
2011-05-19,0.00,4.00,3.50,4.50,4.00,8.00
2011-05-20,2.25,2.50,0.00,5.75,5.50,7.50
2011-05-21,1.00,3.25,1.50,6.75,4.00,7.00
2011-05-23,0.00,5.35,1.75,4.60,4.00,7.50
2011-05-24,2.50,1.50,0.30,6.75,5.00,7.00
2011-05-25,0.00,4.25,1.00,5.75,5.00,7.00
2011-05-26,1.00,3.50,4.75,5.50,0.50,6.00
2011-05-27,0.00,3.75,0.00,8.75,4.00,7.50
2011-05-30,1.00,1.75,2.00,7.25,5.00,7.50
2011-05-31,1.00,2.00,2.25,6.75,3.50,7.50
