date,tI,tO,tC,tM,tF,tS
2010-11-02,1.75,4.25,0.75,6.75,5.0,6.0
2010-11-03,0.0,2.0,3.0,5.0,5.0,6.0
2010-11-04,0.0,6.35,2.75,4.0,6.5,6.0
2010-11-05,2.25,1.0,1.0,6.25,4.75,5.0
2010-11-06,0.0,5.5,1.5,4.0,4.0,7.0
2010-11-08,0.0,6.5,2.75,3.25,5.0,6.5
2010-11-09,0.0,6.5,2.75,2.0,5.0,7.0
2010-11-10,2.5,5.0,1.5,4.0,5.0,6.0
2010-11-11,0.0,7.75,4.5,3.25,2.0,6.0
2010-11-12,0.0,2.5,0.75,4.75,2.0,6.0
2010-11-15,0.0,4.5,4.0,5.0,5.0,7.0
2010-11-16,0.0,4.5,2.5,3.0,5.0,6.0
2010-11-17,0.0,2.5,2.5,7.5,5.5,6.0
2010-11-18,0.0,7.5,2.0,2.0,2.5,6.0
2010-11-19,1.75,3.5,1.25,5.0,5.0,6.0
2010-11-29,0.0,2.25,5.5,7.5,2.0,6.0
2010-11-30,0.5,9.0,2.5,5.5,2.0,5.0
