date,tI,tO,tC,tM,tF,tS
2012-04-01,1.75,0.00,4.50,5.00,7.75,4.0
2012-04-05,2.25,3.75,0.00,4.25,5.55,7.0
2012-04-06,6.50,0.00,0.00,7.00,6.00,7.0
2012-04-09,1.50,1.50,1.50,5.00,7.50,7.0
2012-04-10,1.25,3.00,2.00,4.50,6.75,6.0
2012-04-11,0.75,3.25,2.25,6.25,5.00,6.0
2012-04-12,1.50,5.50,3.00,2.50,1.00,6.0
2012-04-13,2.50,1.00,1.50,8.00,5.00,6.0
2012-04-16,6.25,3.00,0.00,4.00,4.00,6.0
2012-04-17,1.75,2.50,3.00,5.50.4.00,6.0
2012-04-18,1.00,0.75,2.00,6.25,7.25,6.0
2012-04-19,2.00,5.25,3.75,4.00,1.00,6.0
2012-04-20,0.00,4.50,3.00,6.00,4.50,7.0
2012-04-23,1.50,2.25,2.50,3.75,5.00,6.0
2012-04-24,4.50,4.00,1.00,4.50,3.00,7.0
2012-04-25,0.00,7.25,1.00,4.00,4.50,6.0
2012-04-26,4.75,3.50,2.50,4.00,3.00,6.0
2012-04-27,1.00,8.00,0.75,4.50,4.50,6.0
