date,tI,tO,tC,tM,tF,tS
2012-01-04,0.00,2.50,0.00,8.50,5.00,7.0
2012-01-05,2.00,2.50,0.00,5.00,6.50,7.0
2012-01-06,2.25,1.00,1.50,5.75,6.00,7.0
2012-01-09,0.00,3.25,0.75,2.50,5.00,7.0
2012-01-10,2.25,4.00,0.00,6.75,5.00,6.0
2012-01-11,2.00,2.50,1.25,7.00,4.00,6.0
2012-01-12,0.75,1.75,2.00,11.75,1.00,7.
2012-01-13,0.00,1.00,3.00,11.5,1.00,7.0
2012-01-16,2.00,1.00,6.00,7.00,1.00,7.0
2012-01-17,0.50,4.00,0.00,7.00,5.00,7.0
2012-01-18,0.00,3.25,7.00,3.75,1.00,7.0
2012-01-19,2.00,4.25,0.00,5.75,4.50,7.0
2012-01-30,1.00,3.00,3.75,3.00,5.75,7.0
2012-01-31,0.50,2.50,3.00,4.50,5.00,9.0
