date,tI,tO,tC,tM,tF,tS
2012-12-05,0.00,3.50,1.25,2.00,9.25,7.0
2012-12-06,0.00,3.50,2.00,3.75,8.00,7.0
2012-12-07,0.00,2.50,1.00,2.50,11.5,7.0
2012-12-10,1.00,3.50,2.00,1.00,7.00,7.0
2012-12-11,0.00,7.00,5.00,2.00,2.50,8.0
2012-12-12,1.00,2.75,0.00,1.50,12.25,7.
2012-12-13,1.00,2.50,1.00,2.25,8.75,8.0
2012-12-14,2.75,4.00,0.00,6.35,1.00,7.0
2012-12-17,3.50,0.00,0.00,3.00,8.50,7.0
2012-12-18,3.00,4.00,0.75,3.00,6.50,7.0
2012-12-19,0.00,10.0,0.00,0.00,5.75,7.0
2012-12-20,0.00,4.25,1.00,1.50,9.50,7.0
2012-12-25,0.00,2.00,0.00,1.00,11.0,7.0
2012-12-26,0.00,5.75,0.00,1.25,8.00,7.0
2012-12-27,0.00,5.75,1.00,0.00,8.50,7.0
2012-12-28,2.00,6.00,0.00,0.00,7.75,7.0
2012-12-29,1.00,5.75,0.00,0.00,10.0,7.0
