date,tI,tO,tC,tM,tF,tS
2010-12-01,0.0,8.75,4.25,4.0,2.0,5.5
2010-12-02,1.0,6.25,1.5,2.0,2.0,4.5
2010-12-03,0.0,8.0,1.0,4.5,2.0,7.5
2010-12-06,1.0,5.0,5.75,3.75,2.5,7.0
2010-12-07,0.0,7.0,2.75,6.0,2.0,5.5
2010-12-08,0.0,10.5,2.75,2.5,2.0,7.0
2010-12-09,0.0,11.0,2.0,4.0,2.0,5.0
2010-12-10,0.0,5.5,2.75,2.5,2.0,5.0
2010-12-13,0.0,6.5,0.75,6.25,2.0,7.0
2010-12-14,0.0,3.5,2.75,6.25,5.0,7.0
2010-12-15,0.0,5.25,2.25,6.5,5.0,7.5
2010-12-16,3.5,5.5,0.5,5.5,2.0,6.0
2010-12-17,0.0,0.0,2.75,12.5,2.0,6.0
2010-12-20,0.0,2.75,4.0,4.0,5.0,7.0
2010-12-21,0.0,4.25,1.5,5.75,5.0,6.0
2010-12-22,0.0,5.5,1.0,4.5,2.0,7.0
2010-12-23,0.5,1.5,1.0,10.5,5.0,5.5,6.5
2010-12-27,0.0,1.75,3.25,8.0,5.0,6.0
2010-12-28,1.75,2.25,1.75,8.5,5.0,5.5
2010-12-29,4.5,4.5,1.75,2.75,4.5,5.5
2010-12-30,0.0,2.75,2.75,6.5,5.5,5.0
2010-12-31,0.0,2.0,1.5,6.5,7.0,7.5
