date,tI,tO,tC,tM,tF,tS
2012-07-02,2.00,3.50,1.75,5.25,4.00,8.0
2012-07-03,2.50,3.25,4.00,2.50,4.75,7.0
2012-07-04,3.75,4.50,1.00,3.00,3.75,7.0
2012-07-05,2.50,3.75,2.50,4.25,4.00,7.0
2012-07-06,4.50,2.75,2.25,2.75,4.00,7.0
2012-07-09,2.00,1.50,3.50,4.25,3.50,7.0
2012-07-10,2.75,3.00,4.00,1.75,3.00,7.0
2012-07-11,3.50,3.50,2.00,2.00,4.00,7.0
2012-07-12,3.00,1.25,6.75,1.00,4.00,7.0
2012-07-13,1.00,6.75,4.50,2.00,1.00,7.0
2012-07-16,3.25,3.50,2.50,3.50,3.50,7.0
2012-07-17,1.25,5.25,0.75,5.00,5.00,7.0
2012-07-18,2.00,6.00,1.00,3.00,4.50,7.0
2012-07-19,1.75,2.00,3.25,3.00,6.75,7.0
2012-07-20,1.50,4.00,1.25,5.25,4.75,8.0
2012-07-23,1.00,4.50,3.00,3.50,3.75,7.0
2012-07-24,0.00,2.00,1.00,2.50,11.25,7.0
2012-07-25,1.75,2.00,1.00,0.50,11.75,7.0
2012-07-26,0.00,3.75,4.00,1.00,9.00,7.0
2012-07-27,2.50,2.75,1.00,5.00,5.25,7.0
2012-07-30,1.00,6.25,1.25,2.00,3.50,7.0
2012-07-31,1.00,5.75,1.75,2.50,3.50,7.0
