date,tI,tO,tC,tM,tF,tS
2013-01-05,0.00,0.75,1.00,5.75,7.00,7.0
2013-01-14,3.75,0.50,4.75,1.25,6.75,7.0
2013-01-15,0.00,2.25,2.25,3.00,9.75,7.0
2013-01-16,1.00,4.50,0.00,3.25,5.00,7.0
2013-01-18,0.00,4.00,2.00,3.50,7.25,7.0
2013-01-21,0.00,2.00,1.25,2.75,9.25,7.0
2013-01-22,0.00,0.00,4.50,2.75,8.75,7.0
2013-01-23,8.00,1.50,1.00,0.00,5.75,7.0
2013-01-24,0.00,5.75,1.25,1.25,8.25,7.0
2013-01-25,0.00,2.75,3.25,1.25,2.25,7.0
2013-01-29,1.00,0.00,5.00,4.00,6.00,7.0
2013-01-30,2.50,3.00,4.75,2.00,4.25,7.0
2013-01-31,0.00,1.50,3.75,1.75,0.75,6.0
