date,tI,tO,tC,tM,tF,tS
2012-09-03,0.00,11.25,0.0,1.25,3.00,7.0
2012-09-04,3.00,4.50,1.00,4.50,4.00,7.0
2012-09-05,3.25,6.00,1.25,1.25,6.00,7.0
2012-09-06,2.00,4.75,5.00,1.00,3.75,7.0
2012-09-07,3.00,3.75,5.00,2.00,1.00,7.0
2012-09-10,3.00,0.000,6.50,2.50,5.00,7.0
2012-09-11,0.00,3.75,2.25,5.75,2.50,7.0
2012-09-12,1.00,6.75,4.50,2.00,2.00,7.0
2012-09-13,0.00,4.00,1.00,3.50,3.50,7.0
2012-09-14,0.00,4.00,6.00,2.00,3.50,7.0
2012-09-17,0.00,5.50,2.00,5.00,3.50,7.0
2012-09-18,1.25,1.75,0.00,7.25,3.00,7.0
2012-09-19,1.00,5.00,5.50,2.25,5.00,7.0
2012-09-20,4.00,7.25,0.00,2.00,2.75,5.0
2012-09-21,3.50,3.25,2.00,3.75,3.00,7.0
2012-09-24,2.00,6.25,2.50,2.50,4.50,7.0
2012-09-25,4.25,5.75,0.00,1.75,3.25,7.0
2012-09-26,2.50,4.00,0.75,5.25,5.00,7.0
2012-09-27,0.00,4.00,1.00,5.00,3.50,7.0
2012-09-28,0.00,4.25,1.50,3.25,6.50,7.0
