date,tI,tO,tC,tM,tF,tS
2011-07-01,0.00,11.5,0.00,2.50,4.00,7.50
2011-07-04,3.00,0.00,1.75,4.75,6.75,8.00
2011-07-05,1.00,0.50,7.75,1.50,5.25,7.50
2011-07-06,1.75,4.25,1.00,4.00,4.75,7.00
2011-07-07,2.75,0.75,8.00,5.50,1.00,7.00
2011-07-11,2.75,5.75,1.50,0.50,5.50,7.50
2011-07-12,2.25,5.50,0.50,3.25,4.50,7.50
2011-07-13,3.50,2.75,8.50,0.00,4.35,7.00
2011-07-14,4.75,6.25,3.50,1.50,1.00,5.00
2011-07-15,3.00,4.00,0.00,5.00,4.50,7.00
2011-07-18,3.25,3.75,0.75,1.00,5.25,7.50
2011-07-19,1.50,3.50,0.00,4.75,2.50,7.50
2011-07-20,0.00,6.75,0.00,4.50,4.50,7.50
2011-07-21,0.00,5.25,4.50,3.00,2.50,7.00
2011-07-25,2.50,3.50,1.00,3.00,6.00,7.50
2011-07-26,1.50,4.25,0.00,1.00,9.75,7.5
2011-07-27,4.50,2.50,0.00,4.00,5.00,7.5
2011-07-28,4.25,1.75,2.50,5.50,2.00,7.5
2011-07-29,0.00,3.50,0.00,6.00,5.75,7.5
