date,tI,tO,tC,tM,tF,tS
2011-02-09,2.00,4.00,1.00,7.00,5.00,6.00
2011-02-10,0.00,1.50,1.50,10.5,4.50,5.50
2011-02-12,0.00,2.50,1.00,8.00,4.00,7.00
2011-02-14,2.50,2.75,1.25,4.00,5.00,7.00
2011-02-15,0.00,6.00,0.50,6.50,4.00,7.50
2011-02-16,0.00,3.00,1.50,7.00,4.00,7.50
2011-02-17,0.00,1.00,2.00,8.50,4.50,7.00
2011-02-18,2.00,3.00,0.00,7.00,4.00,7.00
2011-02-21,0.00,3.50,3.00,4.50,4.00,7.50
2011-02-22,0.50,3.50,1.00,8.00,4.50,8.00
2011-02-23,1.00,4.50,1.00,5.00,4.50,7.00
2011-02-24,3.00,5.00,0.00,3.50,3.50,7.50
2011-02-25,2.00,0.75,7.75,2.00,4.00,6.50
2011-02-28,0.00,4.00,0.00,6.00,6.00,6.50
