date,tI,tO,tC,tM,tF,tS
2013-03-01,0.00,4.25,2.00,3.75,6.00,7.0
2013-03-04,0.00,4.75,0.00,4.75,7.50,7.0
2013-03-05,0.00,1.00,1.75,0.75,9.50,7.0
2013-03-06,2.00,2.25,0.00,3.75,11.25,7.
2013-03-07,0.00,5.75,1.00,1.00,10.25,6.
2013-03-10,0.00,2.75,7.00,0.00,5.75,7.0
2013-03-11,0.00,0.00,2.75,2.50,7.00,7.0
2013-03-12,2.25,0.00,3.00,1.75,5.50,7.0
2013-03-14,0.00,1.00,7.50,1.50,6.00,6.0
2013-03-15,0.00,7.00,1.50,2.50,6.50,7.0
2013-03-18,0.00,1.50,0.00,2.00,9.50,7.0
2013-03-19,3.00,6.00,0.50,0.00,6.00,7.0
2013-03-20,1.25,6.00,2.75,2.50,3.50,6.0
2013-03-21,2.00,3.00,6.00,0.50,5.25,6.0
2013-03-22,0.00,2.25,7.50,3.50,5.75,6.0
2013-02-25,3.50,2.00,2.00,2.00,8.00,5.5
2013-03-26,1.00,6.00,3.50,3.00,6.50,5.5
2013-03-27,4.50,3.25,1.25,1.50,5.00,5.5
2013-03-27,1.75,5.50,1.00,3.50,5.75,5.5
