date,tI,tO,tC,tM,tF,tS
2011-01-04,0.00,6.50,0.00,5.50,5.00,7.00
2011-01-05,1.00,4.50,0.50,5.00,6.00,7.00
2011-01-06,2.15,4.75,0.50,6.50,4.50,7.00
2011-01-07,0.50,5.75,2.25,6.50,4.00,6.50
2011-01-10,1.00,3.00,4.50,1.50,5.00,7.00
2011-01-11,1.50,3.50,1.50,7.00,3.00,5.50
2011-01-12,2.00,3.00,1.00,6.50,5.00,7.00
2011-01-13,6.00,1.75,0.25,6.00,1.50,7.00
2011-01-17,0.00,5.25,2.25,5.50,4.00,7.00
2011-01-18,0.00,2.50,4.50,5.00,4.00,7.00
2011-01-19,1.00.1/50,1.50,5.00,7.00,7.50
2011-01-20,3.00,5.00,1.00,3.00,4.00,6.00
2011-01-21,2.00,5.25,1.25,3.50,4.00,7.50
2011-01-24,1.00,5.50,0.50,5.50,4.00,7.00
2011-01-25,0.00,5.50,1.00,6.00,4.50,7.50
2011-01-26,1.50,8.75,2.75,2.00,1.00,7.00
2011-01-27,2.50,7.50,0.00,3.00,3.50,7.50
2011-01-28,0.50,8.00,0.00,3.00,5.50,7.00
2011-01-29,2.00,4.50,4.50,3.00,4.00,7.00
