date,tI,tO,tC,tM,tF,tS
2012-06-01,1.00,10.0,6.50,4.50,1.00,6.0
2012-06-04,1.00,4.50,1.00,3.50,3.75,7.0
2012-06-05,6.50,2.75,2.50,3.00,1.00,7.0
2012-06-06,2.25,3.50,6.25,2.00,3.00,7.0
2012-06-07,3.00,2.75,0.50,5.25,5.00,5.5
2012-06-08,1.25,2.50,0.75,6.00,6.00,6.0
2012-06-11,1.00,3.75,0.75,2.50,5.50,6.0
2012-06-12,2.75,5.25,3.00,1.50,3.75,7.0
2012-06-13,2.00,2.00,4.75,6.00,3.50,7.0
2012-06-14,1.00,4.00,3.00,4.75,3.00,6.0
2012-06-15,1.25,5.00,0.00,5.50,6.00,7.0
2012-06-18,1.00,4.50,1.50,5.50,4.50,6.0
2012-06-19,1.00,3.00,2.00,5.00,4.50,5.0
2012-06-20,0.00,4.25,3.75,5.75,4.50,8.0
2012-06-25,1.50,1.50,1.50,6.00,4.75,5.5
2012-06-26,3.00,3.25,0.50,6.25,4.50,6.0
2012-06-27,1.00,5.50,1.00,4.00,5.00,7.0
2012-06-28,1.00,3.00,2.00,5.50,2.50,8.0
2012-06-29,1.00,3.25,2.75,3.50,2.00,8.0
