date,tI,tO,tC,tM,tF,tS
2012-05-02,2.00,3.00,1.25,7.25,3.75,6.0
2012-05-03,0.00,8.00,1.50,5.50,1.50,5.0
2012-05-04,0.00,6.00,0.00,3.50,5.00,6.0
2012-04-07,0.00,6.75,0.00,3.75,6.00,6.0
2012-05-08,0.00,5.75,0.00,4.50,6.00,6.0
2012-05-09,0.00,4.00,0.50,5.00,6.00,7.0
2012-05-10,1.00,3.00,1.50,8.50,3.00,7.0
2012-05-14,0.00,0.00,3.00,13.5,1.00,7.0
2012-05-15,0.00,2.75,4.00,6.75,4.00,7.0
2012-05-16,5.50,1.00,3.50,5.00,1.00,7.0
2012-05-17,2.25,0.00,5.00,7.50,1.00,6.0
2012-05-18,2.00,0.00,6.50,2.25,5.25,7.0
2012-05-19,1.50,4.00,0.50,7.00,5.75,6.0
2012-05-20,0.00,3.75,2.50,5.00,3.50,6.0
2012-05-21,2.00,7.00,2.00,4.50,4.50,6.0
2012-05-22,1.50,6.00,4.00,4.25,5.00,6.0
2012-05-24,5.00,0.75,1.00,2.25,6.00,6.0
2012-05-27,0.00,4.50,0.75,4.00,5.25,6.0
2012-05-28,0.00,6.50,1.50,7.50,1.00,6.0
2012-05-29,1.25,4.75,3.50,4.00,2.50,7.0
2012-05-30,0.50,5.50,2.50,2.50,1.00,6.5
2012-05-31,0.00,6.75,2.00,5.00,7.50,7.0
