date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
120903,0.00,11.25,0.0,1.25,3.00,7.00    6, 1, 2, 16
120904,3.00,4.50,1.00,4.50,4.00,7.00    6, 2, 1, 5
120905,3.25,6.00,1.25,1.25,6.00,7.00    6, 2, 1, 11
120906,2.00,4.75,5.00,1.00,3.75,7.00    0, 0, 0, 0
120907,3.00,3.75,5.00,2.00,1.00,7.00    0, 0, 0, 0
120910,3.00,0.000,6.50,2.50,5.00,7.00   0, 0, 0, 0
120911,0.00,3.75,2.25,5.75,2.50,7.00    6, 1, 1, 9
120912,1.00,6.75,4.50,2.00,2.00,7.00    6, 2, 0, 7
120913,0.00,4.00,1.00,3.50,3.50,7.00    6, 1, 1, 11
120914,0.00,4.00,6.00,2.00,3.50,7.00    0, 0, 0, 0
120917,0.00,5.50,2.00,5.00,3.50,7.00    6, 2, 0, 7
120918,1.25,1.75,0.00,7.25,3.00,7.00    6, 1, 1, 6
120919,1.00,5.00,5.50,2.25,5.00,7.00    6, 1, 1, 8
120920,4.00,7.25,0.00,2.00,2.75,5.00    6, 0, 2, 6
120921,3.50,3.25,2.00,3.75,3.00,7.00    6, 1, 1, 6
120924,2.00,6.25,2.50,2.50,4.50,7.00    6, 1, 1, 8
120925,4.25,5.75,0.00,1.75,3.25,7.00    6, 1, 2, 12
120926,2.50,4.00,0.75,5.25,5.00,7.00    6, 1, 1, 11
120927,0.00,4.00,1.00,5.00,3.50,7.00    6, 1, 2, 10
120928,0.00,4.25,1.50,3.25,6.50,7.00    6, 1, 1, 9
