date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
121101,2.00,1.75,4.75,6.25,4.00,5.00    6, 1, 1, 5
121102,0.75,5.50,3.75,1.00,4.00,7.00    6, 2, 0, 3
121105,0.00,7.00,3.25,2.50,4.00,7.00    6, 2, 0, 8
121106,0.00,7.25,0.00,4.50,3.00,5.00    6, 2, 0, 9
121107,0.00,5.50,1.75,1.00,6.00,7.00    6, 1, 1, 7
121115,3.50,4.00,2.00,3.50,5.00,7.00    6, 1, 1, 4
121116,0.00,4.00,2.25,4.00,3.50,6.00    6, 1, 2, 9
121119,1.00,4.25,1.00,3.25,7.75,8.00    6, 1, 1, 6
121120,0.00,1.25,2.50,2.00,10.0,7.00    6, 1, 1, 4
121121,1.75,2.00,2.75,2.75,7.00,8.00    6, 1, 1, 4
121122,0.00,6.75,0.00,3.50,5.25,7.00    6, 2, 0, 4
121123,0.00,1.75,3.00,2.25,6.00,7.00    6, 1, 1, 3
121126,0.00,1.50,4.75,2.25,8.50,7.00    6, 2, 1, 5
121127,0.00,4.00,1.50,2.00,6.75,7.00    6, 2, 1, 3
121128,2.25,0.50,0.00,3.50,10.75,7.0    6, 1, 1, 7
121129,0.00,3.75,1.00,4.25,7.50,7.00    6, 2, 0, 3
121130,0.00,0.50,0.00,3.00,13.0,8.00    4, 1, 1, 3
