date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
121010,0.00,2.25,4.00,4.75,4.25,7.00    6, 2, 0, 4
121011,0.00,2.50,2.50,2.75,7.75,7.00    6, 1, 1, 6
121012,0.00,2.50,6.00,3.00,4.00,7.00    6, 2, 0, 6
121015,0.00,6.00,1.75,4.50,4.00,7.00    6, 2, 1, 6
121016,0.00,4.50,0.75,4.00,6.00,5.00    6, 2, 1, 7
121017,0.00,3.25,1.75,6.00,5.00,6.00    6, 2, 0, 6
121018,0.00,5.50,4.50,3.00,4.50,6.00    0, 0, 0, 0
121019,0.00,2.50,4.50,2.50,4.50,6.00    6, 1, 1, 5
121022,0.75,4.50,4.00,2.50,4.00,7.00    6, 2, 0, 6
121023,1.00,5.00,2.50,2.00,6.00,8.00    6, 1, 0 ,0
121024,0.00,7.00,0.00,5.00,4.00,7.00    6, 2, 0, 8
121025,2.00,5.00,0.00,1.00,6.00,7.00    6, 2, 1, 9
121029,0.00,5.50,2.00,4.00,4.00,8.00    6, 2, 0, 7
121030,0.00,4.50,5.00,2.50,4.00,8.00    6, 1, 1, 7
121031,1.00,6.50,0.00,2.50,5.00,7.00    6, 1, 1, 7
