date,tI,tO,tC,tM,tF,tS
100901,1.75,6.75,1.0,4.0,4.25,5.5
100902,3.5,4.75,2.25,6.5,1.5,5.5
100903,3.0,0.5,2.5,4.5,6.5,5.5

100906,2.75,1.75,0.0,7.0,3.5,6.5
100907,1.0,4.0,3.0,6.0,5.0,5.0
100908,2.5,6.0,3.0,4.0,1.5,5.5
100909,4.5,5.0,1.5,4.5,1.5,5.5
100910,2.75,2.5,0.0,7.75,5.0,5.0

100913,1.5,7.0,1.5,3.5,5.0,6.5
100914,3.0,5.25,1.5,2.0,5.0,6.0
100915,1.5,3.25,4.25,4.0,5.0,6.5
100916,0.0,5.75,5.5,4.5,2.0,5.5
100917,0.0,8.75,1.0,3.25,5.0,5.5
100918,0.0,3.0,3.25,7.25,1.5,6.0
100919,6.5,0.0,0.0,4.25,2.25,6.0
100920,0.0,2.5,3.25,5.25,5.0,6.0


100925,0.0,1.5,1.5,9.0,5.0,7.0
100926,1.0,4.5,0.5,5.0,5.0,6.0
100927,2.5,7.0,1.0,2.5,5.0,6.0
100928,0.0,4.0,0.0,5.5,5.5,6.0
100929,0.0,0.0,2.0,11.5,2.0,7.0

