活动类别,持续时间,开始时间,结束时间,备注
阅读,0.7,06/22 01:05,06/22 01:46,
Chaos,0.9,06/22 00:10,06/22 01:05,
GDG,5.1,06/21 19:03,06/22 00:10,
用餐,0.5,06/21 18:34,06/21 19:03,
GDG,3.4,06/21 15:13,06/21 18:34,
Chaos,1.6,06/21 13:35,06/21 15:13,
用餐,0.5,06/21 13:04,06/21 13:35,
工作,4.5,06/21 08:37,06/21 13:04,
用餐,0.2,06/21 08:26,06/21 08:37,
交通,0.5,06/21 07:54,06/21 08:26,
Chaos,0.4,06/21 07:29,06/21 07:54,
睡眠,5.9,06/21 01:36,06/21 07:29,
阅读,1.4,06/21 00:13,06/21 01:36,
Pt0,1.8,06/20 22:25,06/21 00:13,
GDG,1.6,06/20 20:50,06/20 22:24,
交通,0.2,06/20 20:36,06/20 20:50,
Pt0,1.7,06/20 18:55,06/20 20:36,
电影,0.6,06/20 18:20,06/20 18:55,
交流,0.3,06/20 18:04,06/20 18:20,
Chaos,0.3,06/20 17:43,06/20 18:03,
学习,2.0,06/20 15:43,06/20 17:43,
工作,0.5,06/20 15:13,06/20 15:43,
Chaos,2.4,06/20 12:51,06/20 15:13,
用餐,0.5,06/20 12:19,06/20 12:51,
交流,1.3,06/20 11:00,06/20 12:19,
Pt0,3.5,06/20 07:32,06/20 11:00,
睡眠,6.5,06/20 01:02,06/20 07:32,
阅读,0.9,06/20 00:06,06/20 01:02,
Chaos,0.8,06/19 23:19,06/20 00:06,
GDG,1.6,06/19 22:15,06/19 23:53,
家务,0.5,06/19 21:44,06/19 22:15,
Chaos,0.3,06/19 21:26,06/19 21:44,
工作,1.7,06/19 19:45,06/19 21:26,
Chaos,0.7,06/19 19:04,06/19 19:45,
用餐,0.5,06/19 18:35,06/19 19:04,
Chaos,1.5,06/19 17:06,06/19 18:35,
交流,2.4,06/19 14:40,06/19 17:07,
Chaos,1.0,06/19 13:40,06/19 14:40,
用餐,0.7,06/19 13:00,06/19 13:40,
Pt0,2.6,06/19 10:26,06/19 13:00,
GDG,1.0,06/19 09:26,06/19 10:26,
学习,0.4,06/19 09:02,06/19 09:26,
用餐,0.2,06/19 08:52,06/19 09:02,
Chaos,0.7,06/19 08:09,06/19 08:52,
睡眠,7.6,06/19 00:36,06/19 08:09,
阅读,1.5,06/18 23:08,06/19 00:36,
