活动类别,持续时间,开始时间,结束时间,备注
睡眠,9.0,10/01/13 22:27,10/02/13 07:28,
Chaos,0.1,10/01/13 22:19,10/01/13 22:27,
家务,1.7,10/01/13 20:36,10/01/13 22:19,
交通,0.4,10/01/13 20:13,10/01/13 20:36,
用餐,3.1,10/01/13 17:05,10/01/13 20:13,
交通,0.8,10/01/13 16:19,10/01/13 17:05,
Chaos,0.9,10/01/13 15:25,10/01/13 16:19,
交通,2.0,10/01/13 13:24,10/01/13 15:25,
娱乐,3.3,10/01/13 10:08,10/01/13 13:24,
交通,1.4,10/01/13 08:45,10/01/13 10:08,
用餐,1.2,10/01/13 07:34,10/01/13 08:45,
睡眠,9.4,09/30/13 22:12,10/01/13 07:34,
电影,1.6,09/30/13 20:35,09/30/13 22:12,
家务,0.9,09/30/13 19:42,09/30/13 20:35,
交通,0.6,09/30/13 19:06,09/30/13 19:42,
用餐,1.9,09/30/13 17:13,09/30/13 19:06,
交通,2.0,09/30/13 15:16,09/30/13 17:13,
睡眠,2.0,09/30/13 13:17,09/30/13 15:16,
Chaos,0.2,09/30/13 13:06,09/30/13 13:17,
用餐,1.1,09/30/13 11:59,09/30/13 13:06,
交通,0.1,09/30/13 11:51,09/30/13 11:59,
交通,0.6,09/30/13 11:15,09/30/13 11:51,
娱乐,2.0,09/30/13 09:16,09/30/13 11:15,
交通,0.6,09/30/13 08:40,09/30/13 09:16,
用餐,0.5,09/30/13 08:10,09/30/13 08:40,
Chaos,0.9,09/30/13 07:19,09/30/13 08:10,
睡眠,6.2,09/30/13 01:05,09/30/13 07:18,
电影,2.8,09/29/13 22:18,09/30/13 01:05,
Chaos,0.1,09/29/13 22:11,09/29/13 22:18,
GDG,2.2,09/29/13 20:02,09/29/13 22:11,
用餐,2.0,09/29/13 18:02,09/29/13 20:02,
Chaos,1.9,09/29/13 16:11,09/29/13 18:02,
睡眠,3.1,09/29/13 13:07,09/29/13 16:11,
Chaos,0.5,09/29/13 12:36,09/29/13 13:07,
家务,1.1,09/29/13 11:31,09/29/13 12:36,
交通,3.6,09/29/13 07:54,09/29/13 11:31,
Chaos,0.8,09/29/13 07:08,09/29/13 07:54,
睡眠,8.6,09/28/13 22:34,09/29/13 07:08,
交通,10.0,09/28/13 12:33,09/28/13 22:34,
用餐,0.6,09/28/13 12:00,09/28/13 12:33,
GDG,0.9,09/28/13 11:05,09/28/13 12:00,
GDG,1.6,09/28/13 09:29,09/28/13 11:05,
用餐,0.6,09/28/13 08:51,09/28/13 09:29,
交通,0.3,09/28/13 08:34,09/28/13 08:51,
家务,0.9,09/28/13 07:40,09/28/13 08:34,
睡眠,5.4,09/28/13 02:16,09/28/13 07:40,
用餐,1.4,09/28/13 00:54,09/28/13 02:16,
交通,0.4,09/28/13 00:30,09/28/13 00:55,
GDG,1.7,09/27/13 22:46,09/28/13 00:30,
交流,1.5,09/27/13 21:18,09/27/13 22:46,
GDG,1.4,09/27/13 19:54,09/27/13 21:18,
交流,0.4,09/27/13 19:31,09/27/13 19:54,
Pt0,0.2,09/27/13 19:18,09/27/13 19:31,
交流,3.0,09/27/13 16:21,09/27/13 19:18,
GDG,0.8,09/27/13 15:31,09/27/13 16:21,
GDG,0.8,09/27/13 14:44,09/27/13 15:31,
交通,0.2,09/27/13 14:30,09/27/13 14:44,
Chaos,1.5,09/27/13 13:02,09/27/13 14:30,
交通,0.6,09/27/13 12:23,09/27/13 13:02,
GDG,1.1,09/27/13 11:16,09/27/13 12:23,
Pt0,2.2,09/27/13 09:07,09/27/13 11:16,
Chaos,0.2,09/27/13 08:56,09/27/13 09:07,
用餐,0.8,09/27/13 08:05,09/27/13 08:55,
家务,1.0,09/27/13 07:06,09/27/13 08:05,
睡眠,5.8,09/27/13 01:20,09/27/13 07:06,
电影,1.5,09/26/13 23:48,09/27/13 01:20,
家务,0.2,09/26/13 23:36,09/26/13 23:48,
交通,0.2,09/26/13 23:23,09/26/13 23:36,
Chaos,0.1,09/26/13 23:20,09/26/13 23:23,
GDG,3.5,09/26/13 19:49,09/26/13 23:20,
交流,0.7,09/26/13 19:05,09/26/13 19:49,
用餐,0.6,09/26/13 18:26,09/26/13 19:05,
GDG,3.2,09/26/13 15:13,09/26/13 18:26,
Pt0,1.1,09/26/13 14:06,09/26/13 15:13,
Chaos,0.1,09/26/13 14:03,09/26/13 14:06,
用餐,1.6,09/26/13 12:26,09/26/13 14:03,
交流,1.4,09/26/13 11:00,09/26/13 12:26,
GDG,3.2,09/26/13 07:46,09/26/13 11:00,
睡眠,6.8,09/26/13 00:59,09/26/13 07:46,
阅读,1.2,09/25/13 23:46,09/26/13 00:59,
Chaos,0.3,09/25/13 23:27,09/25/13 23:46,
交通,0.4,09/25/13 23:04,09/25/13 23:27,
GDG,2.9,09/25/13 20:09,09/25/13 23:04,
Pt0,1.2,09/25/13 18:57,09/25/13 20:09,
用餐,0.8,09/25/13 18:11,09/25/13 18:57,
GDG,2.0,09/25/13 16:10,09/25/13 18:11,
交流,1.4,09/25/13 14:44,09/25/13 16:10,
工作,1.6,09/25/13 13:05,09/25/13 14:44,
用餐,0.5,09/25/13 12:33,09/25/13 13:05,
交流,1.5,09/25/13 11:00,09/25/13 12:33,
Chaos,1.3,09/25/13 09:41,09/25/13 11:00,
GDG,1.0,09/25/13 08:39,09/25/13 09:41,
用餐,0.5,09/25/13 08:08,09/25/13 08:39,
家务,1.0,09/25/13 07:05,09/25/13 08:08,
睡眠,6.9,09/25/13 00:10,09/25/13 07:05,
阅读,1.0,09/24/13 23:10,09/25/13 00:10,
家务,1.2,09/24/13 21:59,09/24/13 23:10,
交通,0.2,09/24/13 21:45,09/24/13 21:59,
GDG,1.0,09/24/13 20:45,09/24/13 21:45,
工作,1.8,09/24/13 18:56,09/24/13 20:45,
用餐,0.5,09/24/13 18:27,09/24/13 18:56,
Pt0,1.3,09/24/13 17:10,09/24/13 18:27,
交流,0.2,09/24/13 16:58,09/24/13 17:10,
交流,1.6,09/24/13 15:24,09/24/13 16:58,
工作,0.5,09/24/13 14:53,09/24/13 15:24,
Chaos,1.8,09/24/13 13:03,09/24/13 14:53,
用餐,0.5,09/24/13 12:32,09/24/13 13:03,
工作,0.9,09/24/13 11:38,09/24/13 12:32,
交流,1.5,09/24/13 10:11,09/24/13 11:38,
Chaos,1.4,09/24/13 08:47,09/24/13 10:11,
用餐,0.4,09/24/13 08:23,09/24/13 08:47,
交通,0.5,09/24/13 07:51,09/24/13 08:23,
GDG,1.2,09/24/13 06:37,09/24/13 07:51,
睡眠,5.5,09/24/13 01:08,09/24/13 06:37,
GDG,1.9,09/23/13 23:16,09/24/13 01:08,
家务,0.3,09/23/13 22:57,09/23/13 23:16,
GDG,2.1,09/23/13 20:52,09/23/13 22:57,
家务,0.8,09/23/13 20:06,09/23/13 20:52,
交通,0.2,09/23/13 19:55,09/23/13 20:06,
用餐,1.8,09/23/13 18:10,09/23/13 19:55,
GDG,1.5,09/23/13 16:39,09/23/13 18:10,
Pt0,2.1,09/23/13 14:31,09/23/13 16:39,
Chaos,1.6,09/23/13 12:56,09/23/13 14:31,
用餐,0.6,09/23/13 12:19,09/23/13 12:56,
工作,3.3,09/23/13 08:59,09/23/13 12:19,
Chaos,1.5,09/23/13 07:26,09/23/13 08:59,
睡眠,6.7,09/23/13 00:42,09/23/13 07:26,
阅读,1.0,09/22/13 23:43,09/23/13 00:42,
GDG,1.5,09/22/13 22:16,09/22/13 23:43,
Chaos,2.2,09/22/13 20:05,09/22/13 22:16,
用餐,1.5,09/22/13 18:34,09/22/13 20:05,
Chaos,5.4,09/22/13 13:10,09/22/13 18:34,
用餐,1.4,09/22/13 11:47,09/22/13 13:10,
家务,2.0,09/22/13 09:50,09/22/13 11:47,
用餐,0.8,09/22/13 09:00,09/22/13 09:50,
Chaos,1.0,09/22/13 08:00,09/22/13 09:00,
睡眠,6.6,09/22/13 01:22,09/22/13 08:00,
阅读,1.6,09/21/13 23:43,09/22/13 01:22,
Chaos,3.0,09/21/13 20:44,09/21/13 23:43,
用餐,5.3,09/21/13 15:26,09/21/13 20:44,
Chaos,2.0,09/21/13 13:25,09/21/13 15:26,
家务,4.4,09/21/13 09:03,09/21/13 13:25,
交通,0.6,09/21/13 08:28,09/21/13 09:03,
Chaos,0.5,09/21/13 07:57,09/21/13 08:28,
睡眠,8.1,09/20/13 23:50,09/21/13 07:57,
阅读,0.9,09/20/13 22:57,09/20/13 23:50,
Chaos,1.5,09/20/13 21:25,09/20/13 22:57,
交通,0.4,09/20/13 20:58,09/20/13 21:25,
娱乐,4.8,09/20/13 16:08,09/20/13 20:58,
Chaos,0.5,09/20/13 15:38,09/20/13 16:08,
睡眠,0.9,09/20/13 14:41,09/20/13 15:38,
