活动类别,持续时间,开始时间,结束时间,备注
GDG,4.2,03/01/14 21:13,03/02/14 01:23,
家务,1.0,03/01/14 20:12,03/01/14 21:13,
Chaos,11.7,03/01/14 08:28,03/01/14 20:12,
睡眠,6.9,03/01/14 01:33,03/01/14 08:28,
Chaos,3.6,02/28/14 21:55,03/01/14 01:33,
用餐,1.4,02/28/14 20:32,02/28/14 21:55,
Pt0,1.8,02/28/14 18:47,02/28/14 20:32,
GDG,2.9,02/28/14 15:52,02/28/14 18:47,
Chaos,1.1,02/28/14 14:45,02/28/14 15:52,
交通,0.2,02/28/14 14:30,02/28/14 14:45,
Chaos,1.2,02/28/14 13:20,02/28/14 14:30,
交通,0.6,02/28/14 12:44,02/28/14 13:20,
交流,1.6,02/28/14 11:08,02/28/14 12:44,
工作,2.3,02/28/14 08:51,02/28/14 11:08,
Chaos,1.1,02/28/14 07:46,02/28/14 08:51,
睡眠,6.7,02/28/14 01:05,02/28/14 07:46,
Chaos,1.7,02/27/14 23:25,02/28/14 01:05,
交通,0.2,02/27/14 23:10,02/27/14 23:25,
学习,2.6,02/27/14 20:33,02/27/14 23:10,
交通,0.3,02/27/14 20:17,02/27/14 20:33,
用餐,1.0,02/27/14 19:15,02/27/14 20:17,
交通,0.5,02/27/14 18:43,02/27/14 19:15,
Pt0,4.2,02/27/14 14:31,02/27/14 18:43,
交通,0.2,02/27/14 14:16,02/27/14 14:31,
Chaos,1.0,02/27/14 13:13,02/27/14 14:16,
交通,0.5,02/27/14 12:42,02/27/14 13:13,
交流,1.7,02/27/14 11:02,02/27/14 12:42,
Chaos,1.2,02/27/14 09:52,02/27/14 11:02,
工作,1.2,02/27/14 08:40,02/27/14 09:52,
交通,0.6,02/27/14 08:02,02/27/14 08:40,
Chaos,0.5,02/27/14 07:30,02/27/14 08:02,
睡眠,6.6,02/27/14 00:56,02/27/14 07:30,
电影,1.8,02/26/14 23:10,02/27/14 00:56,
家务,0.4,02/26/14 22:48,02/26/14 23:10,
交通,0.6,02/26/14 22:10,02/26/14 22:47,
GDG,2.9,02/26/14 19:15,02/26/14 22:10,
交流,0.8,02/26/14 18:28,02/26/14 19:15,
Chaos,0.2,02/26/14 18:16,02/26/14 18:28,
交流,3.7,02/26/14 14:36,02/26/14 18:16,
交通,0.2,02/26/14 14:23,02/26/14 14:36,
Chaos,0.9,02/26/14 13:26,02/26/14 14:23,
交通,0.6,02/26/14 12:48,02/26/14 13:26,
交流,1.0,02/26/14 11:50,02/26/14 12:48,
Pt0,1.6,02/26/14 10:12,02/26/14 11:50,
工作,1.5,02/26/14 08:44,02/26/14 10:12,
用餐,0.3,02/26/14 08:25,02/26/14 08:44,
交通,0.2,02/26/14 08:15,02/26/14 08:25,
Chaos,0.6,02/26/14 07:38,02/26/14 08:15,
睡眠,7.7,02/25/14 23:55,02/26/14 07:38,
Chaos,2.8,02/25/14 21:06,02/25/14 23:55,
家务,1.0,02/25/14 20:05,02/25/14 21:06,
交通,0.4,02/25/14 19:40,02/25/14 20:05,
用餐,0.6,02/25/14 19:06,02/25/14 19:40,
交通,0.2,02/25/14 18:52,02/25/14 19:06,
交通,0.3,02/25/14 18:34,02/25/14 18:52,
工作,1.2,02/25/14 17:24,02/25/14 18:34,
Chaos,1.6,02/25/14 15:47,02/25/14 17:24,
工作,1.2,02/25/14 14:36,02/25/14 15:47,
Chaos,1.4,02/25/14 13:10,02/25/14 14:36,
用餐,0.6,02/25/14 12:37,02/25/14 13:10,
Chaos,0.2,02/25/14 12:25,02/25/14 12:37,
GDG,1.6,02/25/14 10:48,02/25/14 12:25,
Chaos,2.1,02/25/14 08:42,02/25/14 10:48,
交通,0.7,02/25/14 07:58,02/25/14 08:42,
Chaos,0.5,02/25/14 07:27,02/25/14 07:58,
睡眠,5.2,02/25/14 02:13,02/25/14 07:27,
Chaos,1.3,02/25/14 00:54,02/25/14 02:13,
工作,2.3,02/24/14 22:38,02/25/14 00:54,
Chaos,0.3,02/24/14 22:21,02/24/14 22:38,
交通,0.9,02/24/14 21:29,02/24/14 22:21,
Chaos,0.7,02/24/14 20:48,02/24/14 21:29,
交流,1.1,02/24/14 19:42,02/24/14 20:48,
Chaos,0.1,02/24/14 19:37,02/24/14 19:42,
GDG,1.9,02/24/14 17:41,02/24/14 19:37,
工作,1.4,02/24/14 16:20,02/24/14 17:41,
Chaos,0.8,02/24/14 15:32,02/24/14 16:20,
GDG,0.8,02/24/14 14:45,02/24/14 15:32,
Chaos,0.4,02/24/14 14:19,02/24/14 14:45,
交通,0.2,02/24/14 14:05,02/24/14 14:19,
Chaos,0.8,02/24/14 13:15,02/24/14 14:05,
用餐,0.4,02/24/14 12:52,02/24/14 13:15,
交通,0.3,02/24/14 12:35,02/24/14 12:52,
交流,1.4,02/24/14 11:09,02/24/14 12:35,
上网,2.0,02/24/14 09:07,02/24/14 11:09,
交通,0.7,02/24/14 08:26,02/24/14 09:07,
Chaos,0.5,02/24/14 07:56,02/24/14 08:26,
