活动类别,持续时间,开始时间,结束时间,备注
睡眠,7.7,12/01/13 23:47,12/02/13 07:31,
电影,0.7,12/01/13 23:04,12/01/13 23:47,
Chaos,3.8,12/01/13 19:15,12/01/13 23:04,
用餐,1.7,12/01/13 17:32,12/01/13 19:15,
交通,0.9,12/01/13 16:41,12/01/13 17:32,
交流,2.7,12/01/13 13:58,12/01/13 16:41,
交通,0.5,12/01/13 13:26,12/01/13 13:58,
Chaos,3.2,12/01/13 10:14,12/01/13 13:26,
家务,0.9,12/01/13 09:23,12/01/13 10:14,
Chaos,1.3,12/01/13 08:07,12/01/13 09:23,
睡眠,8.1,12/01/13 00:03,12/01/13 08:07,
电影,2.4,11/30/13 21:39,12/01/13 00:03,
Chaos,0.5,11/30/13 21:08,11/30/13 21:39,
交通,0.6,11/30/13 20:29,11/30/13 21:08,
交流,2.6,11/30/13 17:51,11/30/13 20:29,
交通,0.8,11/30/13 17:04,11/30/13 17:51,
Chaos,1.5,11/30/13 15:35,11/30/13 17:04,
GDG,2.0,11/30/13 13:33,11/30/13 15:35,
用餐,1.0,11/30/13 12:31,11/30/13 13:33,
Chaos,1.8,11/30/13 10:43,11/30/13 12:31,
用餐,1.1,11/30/13 09:38,11/30/13 10:43,
Chaos,0.5,11/30/13 09:08,11/30/13 09:38,
睡眠,8.6,11/30/13 00:31,11/30/13 09:08,
Chaos,1.0,11/29/13 23:29,11/30/13 00:31,
电影,3.0,11/29/13 20:31,11/29/13 23:29,
家务,0.4,11/29/13 20:06,11/29/13 20:31,
Chaos,0.4,11/29/13 19:43,11/29/13 20:06,
用餐,1.1,11/29/13 18:34,11/29/13 19:43,
交通,0.3,11/29/13 18:13,11/29/13 18:34,
Chaos,1.4,11/29/13 16:48,11/29/13 18:13,
工作,2.0,11/29/13 14:49,11/29/13 16:48,
Chaos,1.8,11/29/13 13:00,11/29/13 14:49,
交通,0.3,11/29/13 12:41,11/29/13 13:00,
Chaos,1.9,11/29/13 10:45,11/29/13 12:41,
工作,1.9,11/29/13 08:49,11/29/13 10:45,
家务,1.5,11/29/13 07:17,11/29/13 08:49,
睡眠,7.5,11/28/13 23:48,11/29/13 07:17,
电影,0.7,11/28/13 23:04,11/28/13 23:48,
Chaos,1.9,11/28/13 21:08,11/28/13 23:04,
交通,0.1,11/28/13 21:02,11/28/13 21:08,
用餐,1.2,11/28/13 19:50,11/28/13 21:02,
Chaos,0.5,11/28/13 19:20,11/28/13 19:50,
工作,2.6,11/28/13 16:43,11/28/13 19:20,
家务,0.2,11/28/13 16:30,11/28/13 16:43,
工作,1.9,11/28/13 14:34,11/28/13 16:30,
交通,0.3,11/28/13 14:17,11/28/13 14:34,
Chaos,1.1,11/28/13 13:11,11/28/13 14:17,
交通,0.6,11/28/13 12:33,11/28/13 13:11,
交流,1.5,11/28/13 11:03,11/28/13 12:33,
工作,1.9,11/28/13 09:08,11/28/13 11:03,
用餐,0.7,11/28/13 08:26,11/28/13 09:08,
家务,0.6,11/28/13 07:51,11/28/13 08:26,
Chaos,0.3,11/28/13 07:34,11/28/13 07:51,
睡眠,6.9,11/28/13 00:37,11/28/13 07:34,
阅读,0.6,11/28/13 00:01,11/28/13 00:37,
电影,1.3,11/27/13 22:41,11/28/13 00:01,
Chaos,1.9,11/27/13 20:47,11/27/13 22:41,
交通,0.9,11/27/13 19:56,11/27/13 20:47,
Chaos,1.0,11/27/13 18:58,11/27/13 19:56,
交流,1.6,11/27/13 17:24,11/27/13 18:58,
工作,0.8,11/27/13 16:35,11/27/13 17:24,
阅读,2.1,11/27/13 14:31,11/27/13 16:35,
Chaos,1.4,11/27/13 13:06,11/27/13 14:31,
用餐,0.5,11/27/13 12:35,11/27/13 13:06,
交通,0.1,11/27/13 12:27,11/27/13 12:35,
Chaos,0.2,11/27/13 12:17,11/27/13 12:27,
阅读,1.4,11/27/13 10:56,11/27/13 12:17,
Chaos,0.6,11/27/13 10:22,11/27/13 10:56,
GDG,1.6,11/27/13 08:43,11/27/13 10:22,
交通,0.3,11/27/13 08:22,11/27/13 08:43,
家务,1.0,11/27/13 07:23,11/27/13 08:22,
睡眠,6.6,11/27/13 00:49,11/27/13 07:23,
电影,0.9,11/26/13 23:53,11/27/13 00:49,
GDG,1.4,11/26/13 22:28,11/26/13 23:53,
家务,1.0,11/26/13 21:29,11/26/13 22:28,
交通,0.3,11/26/13 21:11,11/26/13 21:29,
用餐,1.0,11/26/13 20:08,11/26/13 21:11,
GDG,0.8,11/26/13 19:18,11/26/13 20:08,
Chaos,0.8,11/26/13 18:33,11/26/13 19:18,
GDG,0.1,11/26/13 18:29,11/26/13 18:33,
购物,0.2,11/26/13 18:18,11/26/13 18:29,
Chaos,0.6,11/26/13 17:42,11/26/13 18:18,
GDG,1.3,11/26/13 16:25,11/26/13 17:42,
家务,0.1,11/26/13 16:19,11/26/13 16:25,
GDG,1.3,11/26/13 15:01,11/26/13 16:19,
工作,0.3,11/26/13 14:42,11/26/13 15:01,
Chaos,0.9,11/26/13 13:46,11/26/13 14:42,
用餐,1.0,11/26/13 12:44,11/26/13 13:46,
交通,0.3,11/26/13 12:23,11/26/13 12:44,
Pt0,1.0,11/26/13 11:24,11/26/13 12:23,
GDG,1.1,11/26/13 10:15,11/26/13 11:24,
工作,0.6,11/26/13 09:38,11/26/13 10:15,
Chaos,1.0,11/26/13 08:36,11/26/13 09:38,
交通,0.6,11/26/13 07:59,11/26/13 08:36,
Chaos,0.9,11/26/13 07:06,11/26/13 07:59,
睡眠,6.7,11/26/13 00:24,11/26/13 07:06,
电影,0.9,11/25/13 23:28,11/26/13 00:24,
Chaos,1.0,11/25/13 22:30,11/25/13 23:28,
用餐,0.6,11/25/13 21:52,11/25/13 22:30,
