活动类别,持续时间,开始时间,结束时间,备注
家务,0.95,2015-07-01 23:16,2015-07-02 00:13,
交通,0.40,2015-07-01 22:52,2015-07-01 23:16,
Pt0,0.85,2015-07-01 22:01,2015-07-01 22:52,
Chaos,0.25,2015-07-01 21:46,2015-07-01 22:01,
GDG,0.62,2015-07-01 21:09,2015-07-01 21:46,
Pt0,0.10,2015-07-01 21:03,2015-07-01 21:09,
交流,0.80,2015-07-01 20:15,2015-07-01 21:03,
用餐,0.75,2015-07-01 19:30,2015-07-01 20:15,
交通,0.10,2015-07-01 19:24,2015-07-01 19:30,
Chaos,0.03,2015-07-01 19:22,2015-07-01 19:24,
GDG,0.62,2015-07-01 18:45,2015-07-01 19:22,
学习,1.23,2015-07-01 17:31,2015-07-01 18:45,
Pt0,0.15,2015-07-01 17:22,2015-07-01 17:31,
GDG,0.38,2015-07-01 16:59,2015-07-01 17:22,
Pt0,0.43,2015-07-01 16:33,2015-07-01 16:59,
Chaos,0.32,2015-07-01 16:14,2015-07-01 16:33,
GDG,1.00,2015-07-01 15:14,2015-07-01 16:14,
Chaos,0.40,2015-07-01 14:50,2015-07-01 15:14,
交通,0.38,2015-07-01 14:27,2015-07-01 14:50,
Chaos,1.37,2015-07-01 13:05,2015-07-01 14:27,
交通,0.07,2015-07-01 13:01,2015-07-01 13:05,
用餐,0.42,2015-07-01 12:36,2015-07-01 13:01,
交通,0.22,2015-07-01 12:23,2015-07-01 12:36,
上网,1.00,2015-07-01 11:23,2015-07-01 12:23,
交流,1.12,2015-07-01 10:16,2015-07-01 11:23,
上网,0.58,2015-07-01 09:41,2015-07-01 10:16,
Chaos,0.35,2015-07-01 09:20,2015-07-01 09:41,
交通,1.20,2015-07-01 08:08,2015-07-01 09:20,
Air,1.52,2015-07-01 06:37,2015-07-01 08:08,
交通,0.25,2015-07-01 06:22,2015-07-01 06:37,
家务,0.23,2015-07-01 06:08,2015-07-01 06:22,
睡眠,7.38,2015-06-30 22:45,2015-07-01 06:08,
Chaos,2.90,2015-06-30 19:51,2015-06-30 22:45,
家务,0.77,2015-06-30 19:05,2015-06-30 19:51,
用餐,0.72,2015-06-30 18:22,2015-06-30 19:05,
交通,0.22,2015-06-30 18:09,2015-06-30 18:22,
家务,0.98,2015-06-30 17:10,2015-06-30 18:09,
交通,0.87,2015-06-30 16:18,2015-06-30 17:10,
交通,0.97,2015-06-30 15:20,2015-06-30 16:18,
学习,4.12,2015-06-30 11:13,2015-06-30 15:20,
交通,0.82,2015-06-30 10:24,2015-06-30 11:13,
家务,0.32,2015-06-30 10:05,2015-06-30 10:24,
交通,0.83,2015-06-30 09:15,2015-06-30 10:05,
家务,0.33,2015-06-30 08:55,2015-06-30 09:15,
用餐,0.42,2015-06-30 08:30,2015-06-30 08:55,
家务,0.82,2015-06-30 07:41,2015-06-30 08:30,
睡眠,7.35,2015-06-30 00:20,2015-06-30 07:41,
Chaos,2.80,2015-06-29 21:32,2015-06-30 00:20,
家务,0.60,2015-06-29 20:56,2015-06-29 21:32,
交通,0.45,2015-06-29 20:29,2015-06-29 20:56,
Air,1.28,2015-06-29 19:12,2015-06-29 20:29,
Chaos,0.72,2015-06-29 18:29,2015-06-29 19:12,
交通,1.02,2015-06-29 17:28,2015-06-29 18:29,
交流,1.12,2015-06-29 16:21,2015-06-29 17:28,
Pt0,0.52,2015-06-29 15:50,2015-06-29 16:21,
Chaos,0.23,2015-06-29 15:36,2015-06-29 15:50,
Pt0,1.10,2015-06-29 14:30,2015-06-29 15:36,
交通,0.47,2015-06-29 14:02,2015-06-29 14:30,
家务,1.17,2015-06-29 12:52,2015-06-29 14:02,
交通,0.30,2015-06-29 12:34,2015-06-29 12:52,
交流,0.87,2015-06-29 11:42,2015-06-29 12:34,
Pt0,0.60,2015-06-29 11:06,2015-06-29 11:42,
Chaos,0.12,2015-06-29 10:59,2015-06-29 11:06,
交流,0.72,2015-06-29 10:16,2015-06-29 10:59,
Pt0,0.73,2015-06-29 09:32,2015-06-29 10:16,
Chaos,0.30,2015-06-29 09:14,2015-06-29 09:32,
交通,1.08,2015-06-29 08:09,2015-06-29 09:14,
Air,1.68,2015-06-29 06:28,2015-06-29 08:09,
家务,0.35,2015-06-29 06:07,2015-06-29 06:28,
睡眠,5.77,2015-06-29 00:21,2015-06-29 06:07,
Chaos,2.10,2015-06-28 22:15,2015-06-29 00:21,
GDG,1.15,2015-06-28 21:06,2015-06-28 22:15,
Chaos,1.25,2015-06-28 19:51,2015-06-28 21:06,
家务,0.35,2015-06-28 19:30,2015-06-28 19:51,
交流,2.35,2015-06-28 17:09,2015-06-28 19:30,
Chaos,1.12,2015-06-28 16:02,2015-06-28 17:09,
交通,0.38,2015-06-28 15:39,2015-06-28 16:02,
家务,2.53,2015-06-28 13:07,2015-06-28 15:39,
交通,0.50,2015-06-28 12:37,2015-06-28 13:07,
用餐,0.82,2015-06-28 11:48,2015-06-28 12:37,
交通,0.70,2015-06-28 11:06,2015-06-28 11:48,
家务,2.60,2015-06-28 08:30,2015-06-28 11:06,
睡眠,7.78,2015-06-28 00:43,2015-06-28 08:30,
Chaos,2.57,2015-06-27 22:09,2015-06-28 00:43,
GDG,0.42,2015-06-27 21:44,2015-06-27 22:09,
Chaos,1.60,2015-06-27 20:08,2015-06-27 21:44,
