活动类别,持续时间,开始时间,结束时间,备注
家务,0.8,08/01 23:25,08/02 00:13,
交通,0.0,08/01 23:23,08/01 23:25,
Chaos,1.0,08/01 22:25,08/01 23:23,
交流,0.6,08/01 21:50,08/01 22:25,
工作,2.7,08/01 19:10,08/01 21:51,
用餐,0.7,08/01 18:29,08/01 19:10,
Chaos,1.8,08/01 16:41,08/01 18:29,
Pt0,0.5,08/01 16:13,08/01 16:41,
工作,1.8,08/01 14:25,08/01 16:13,
Chaos,1.1,08/01 13:21,08/01 14:25,
交通,0.0,08/01 13:19,08/01 13:21,
用餐,0.6,08/01 12:46,08/01 13:19,
购物,0.6,08/01 12:09,08/01 12:46,
工作,0.1,08/01 12:03,08/01 12:09,
交流,2.0,08/01 10:04,08/01 12:03,
家务,0.1,08/01 09:57,08/01 10:04,
工作,0.3,08/01 09:36,08/01 09:57,
用餐,0.6,08/01 08:59,08/01 09:36,
Chaos,0.8,08/01 08:11,08/01 08:59,
睡眠,6.1,08/01 02:05,08/01 08:11,
阅读,1.9,08/01 00:12,08/01 02:05,
家务,3.2,07/31 20:58,08/01 00:12,
Chaos,0.5,07/31 20:27,07/31 20:58,
Pt0,1.3,07/31 19:12,07/31 20:27,
用餐,0.9,07/31 18:20,07/31 19:12,
Chaos,0.7,07/31 17:38,07/31 18:20,
Pt0,2.3,07/31 15:20,07/31 17:38,
家务,0.5,07/31 14:50,07/31 15:19,
工作,0.1,07/31 14:45,07/31 14:50,
Chaos,1.7,07/31 13:05,07/31 14:45,
交通,0.2,07/31 12:56,07/31 13:05,
用餐,0.3,07/31 12:35,07/31 12:56,
Chaos,0.5,07/31 12:06,07/31 12:35,
Pt0,2.9,07/31 09:09,07/31 12:06,
用餐,0.7,07/31 08:28,07/31 09:09,
Chaos,1.0,07/31 07:28,07/31 08:28,
睡眠,6.6,07/31 00:52,07/31 07:28,
电影,1.8,07/30 23:03,07/31 00:52,
Chaos,2.9,07/30 20:08,07/30 23:03,
用餐,1.2,07/30 18:53,07/30 20:08,
Chaos,0.5,07/30 18:25,07/30 18:53,
Pt0,0.8,07/30 17:37,07/30 18:25,
GDG,3.3,07/30 14:17,07/30 17:37,
Chaos,1.4,07/30 12:54,07/30 14:17,
用餐,0.5,07/30 12:25,07/30 12:54,
交流,3.0,07/30 09:23,07/30 12:25,
Chaos,1.2,07/30 08:09,07/30 09:23,
睡眠,7.1,07/30 01:05,07/30 08:09,
阅读,2.3,07/29 22:44,07/30 01:05,
家务,3.3,07/29 19:26,07/29 22:44,
用餐,0.8,07/29 18:36,07/29 19:26,
GDG,4.0,07/29 14:34,07/29 18:36,
Chaos,1.3,07/29 13:18,07/29 14:34,
用餐,0.7,07/29 12:36,07/29 13:18,
GDG,2.2,07/29 10:27,07/29 12:36,
交流,0.5,07/29 09:55,07/29 10:27,
Chaos,1.6,07/29 08:18,07/29 09:55,
睡眠,8.2,07/29 00:04,07/29 08:18,
电影,0.9,07/28 23:09,07/29 00:04,
Chaos,4.5,07/28 18:39,07/28 23:09,
用餐,0.4,07/28 18:13,07/28 18:39,
Chaos,2.1,07/28 16:10,07/28 18:13,
睡眠,2.0,07/28 14:10,07/28 16:10,
用餐,1.8,07/28 12:21,07/28 14:10,
家务,1.9,07/28 10:27,07/28 12:21,
用餐,1.1,07/28 09:23,07/28 10:27,
Chaos,0.3,07/28 09:02,07/28 09:23,
睡眠,8.7,07/28 00:20,07/28 09:02,
Chaos,0.1,07/28 00:15,07/28 00:20,
电影,1.2,07/27 23:02,07/28 00:15,
Chaos,2.3,07/27 20:41,07/27 23:02,
交流,6.6,07/27 14:04,07/27 20:41,
GDG,1.7,07/27 12:23,07/27 14:04,
Chaos,2.8,07/27 09:36,07/27 12:23,
睡眠,6.6,07/27 02:58,07/27 09:36,
电影,0.6,07/27 02:19,07/27 02:58,
家务,1.6,07/27 00:41,07/27 02:19,
交通,0.3,07/27 00:24,07/27 00:41,
GDG,1.4,07/26 23:02,07/27 00:24,
Pt0,3.0,07/26 20:03,07/26 23:02,
Chaos,0.8,07/26 19:15,07/26 20:03,
用餐,0.8,07/26 18:25,07/26 19:16,
GDG,1.2,07/26 17:16,07/26 18:25,
工作,2.2,07/26 15:01,07/26 17:16,
Chaos,2.1,07/26 12:55,07/26 15:01,
GDG,1.3,07/26 11:35,07/26 12:55,
Pt0,0.2,07/26 11:22,07/26 11:35,
Chaos,0.3,07/26 11:07,07/26 11:22,
工作,1.7,07/26 09:24,07/26 11:07,
Chaos,1.2,07/26 08:10,07/26 09:24,
睡眠,7.0,07/26 01:10,07/26 08:10,
阅读,1.0,07/26 00:09,07/26 01:10,
Chaos,0.1,07/26 00:04,07/26 00:09,
上网,1.0,07/25 23:06,07/26 00:04,
Chaos,1.3,07/25 21:47,07/25 23:06,
交通,0.4,07/25 21:25,07/25 21:47,
购物,1.2,07/25 20:11,07/25 21:25,
Chaos,0.9,07/25 19:16,07/25 20:11,
用餐,0.9,07/25 18:19,07/25 19:16,
Chaos,0.5,07/25 17:49,07/25 18:19,
工作,1.6,07/25 16:10,07/25 17:49,
Chaos,1.3,07/25 14:52,07/25 16:10,
用餐,0.2,07/25 14:41,07/25 14:52,
Chaos,1.6,07/25 13:06,07/25 14:41,
交通,0.2,07/25 12:54,07/25 13:06,
用餐,0.5,07/25 12:26,07/25 12:54,
交流,0.6,07/25 11:51,07/25 12:26,
Chaos,0.4,07/25 11:28,07/25 11:51,
交流,0.5,07/25 10:57,07/25 11:28,
工作,1.3,07/25 09:38,07/25 10:57,
Chaos,0.3,07/25 09:20,07/25 09:38,
用餐,0.7,07/25 08:38,07/25 09:20,
Chaos,0.2,07/25 08:24,07/25 08:38,
睡眠,7.0,07/25 01:26,07/25 08:24,
阅读,1.7,07/24 23:46,07/25 01:26,
娱乐,0.4,07/24 23:19,07/24 23:46,
交流,3.0,07/24 20:20,07/24 23:19,
Pt0,1.2,07/24 19:08,07/24 20:20,
用餐,1.1,07/24 18:01,07/24 19:08,
Chaos,0.2,07/24 17:47,07/24 18:01,
