活动类别,持续时间,开始时间,结束时间,备注
Chaos,2.57,2015-11-01 22:8,2015-11-02 00:42,
家务,2.32,2015-11-01 19:49,2015-11-01 22:8,
家务,1.13,2015-11-01 18:41,2015-11-01 19:49,
用餐,0.48,2015-11-01 18:12,2015-11-01 18:41,
家务,0.93,2015-11-01 17:16,2015-11-01 18:12,
交通,0.40,2015-11-01 16:52,2015-11-01 17:16,
购物,1.85,2015-11-01 15:1,2015-11-01 16:52,
交通,0.32,2015-11-01 14:42,2015-11-01 15:1,
电影,1.72,2015-11-01 12:59,2015-11-01 14:42,
交通,0.33,2015-11-01 12:39,2015-11-01 12:59,
用餐,0.38,2015-11-01 12:16,2015-11-01 12:39,
家务,0.75,2015-11-01 11:31,2015-11-01 12:16,
Chaos,0.65,2015-11-01 10:52,2015-11-01 11:31,
交通,0.60,2015-11-01 10:16,2015-11-01 10:52,
Chaos,0.62,2015-11-01 09:39,2015-11-01 10:16,
家务,0.98,2015-11-01 08:40,2015-11-01 09:39,
睡眠,7.42,2015-11-01 01:15,2015-11-01 08:40,
Chaos,0.42,2015-11-01 00:50,2015-11-01 01:15,
GDG,3.08,2015-10-31 21:45,2015-11-01 00:50,
家务,1.75,2015-10-31 20:0,2015-10-31 21:45,
交通,0.13,2015-10-31 19:52,2015-10-31 20:0,
用餐,0.98,2015-10-31 18:53,2015-10-31 19:52,
交通,0.77,2015-10-31 18:7,2015-10-31 18:53,
交流,7.55,2015-10-31 10:34,2015-10-31 18:7,
GDG,1.67,2015-10-31 08:54,2015-10-31 10:34,
交通,0.13,2015-10-31 08:46,2015-10-31 08:54,
用餐,0.42,2015-10-31 08:21,2015-10-31 08:46,
家务,0.38,2015-10-31 07:58,2015-10-31 08:21,
睡眠,7.03,2015-10-31 00:56,2015-10-31 07:58,
Chaos,1.72,2015-10-30 23:13,2015-10-31 00:56,
GDG,1.37,2015-10-30 21:51,2015-10-30 23:13,
用餐,0.58,2015-10-30 21:16,2015-10-30 21:51,
交通,0.82,2015-10-30 20:27,2015-10-30 21:16,
Air,1.28,2015-10-30 19:10,2015-10-30 20:27,
Chaos,0.20,2015-10-30 18:58,2015-10-30 19:10,
交通,1.28,2015-10-30 17:41,2015-10-30 18:58,
Chaos,0.27,2015-10-30 17:25,2015-10-30 17:41,
GDG,0.60,2015-10-30 16:49,2015-10-30 17:25,
Pt0,1.82,2015-10-30 15:0,2015-10-30 16:49,
GDG,0.40,2015-10-30 14:36,2015-10-30 15:0,
Chaos,0.07,2015-10-30 14:32,2015-10-30 14:36,
交通,0.48,2015-10-30 14:3,2015-10-30 14:32,
Chaos,0.93,2015-10-30 13:7,2015-10-30 14:3,
交通,0.07,2015-10-30 13:3,2015-10-30 13:7,
用餐,0.40,2015-10-30 12:39,2015-10-30 13:3,
交通,0.30,2015-10-30 12:21,2015-10-30 12:39,
Pt0,1.52,2015-10-30 10:50,2015-10-30 12:21,
家务,0.25,2015-10-30 10:35,2015-10-30 10:50,
Chaos,0.13,2015-10-30 10:27,2015-10-30 10:35,
交流,0.17,2015-10-30 10:17,2015-10-30 10:27,
GDG,1.42,2015-10-30 08:52,2015-10-30 10:17,
交通,0.38,2015-10-30 08:29,2015-10-30 08:52,
家务,0.43,2015-10-30 08:3,2015-10-30 08:29,
睡眠,6.03,2015-10-30 02:1,2015-10-30 08:3,
Chaos,0.77,2015-10-30 01:15,2015-10-30 02:1,
交通,0.23,2015-10-30 01:1,2015-10-30 01:15,
GDG,1.70,2015-10-29 23:19,2015-10-30 01:1,
交流,3.80,2015-10-29 19:31,2015-10-29 23:19,
交通,0.35,2015-10-29 19:10,2015-10-29 19:31,
用餐,0.60,2015-10-29 18:34,2015-10-29 19:10,
交通,0.32,2015-10-29 18:15,2015-10-29 18:34,
Chaos,0.03,2015-10-29 18:13,2015-10-29 18:15,
上网,1.18,2015-10-29 17:2,2015-10-29 18:13,
GDG,2.03,2015-10-29 15:0,2015-10-29 17:2,
Pt0,0.30,2015-10-29 14:42,2015-10-29 15:0,
交通,0.25,2015-10-29 14:27,2015-10-29 14:42,
Chaos,0.92,2015-10-29 13:32,2015-10-29 14:27,
用餐,0.12,2015-10-29 13:25,2015-10-29 13:32,
用餐,0.37,2015-10-29 13:3,2015-10-29 13:25,
交通,0.22,2015-10-29 12:50,2015-10-29 13:3,
GDG,1.50,2015-10-29 11:20,2015-10-29 12:50,
Pt0,1.25,2015-10-29 10:5,2015-10-29 11:20,
OBP,0.35,2015-10-29 09:44,2015-10-29 10:5,
交流,0.10,2015-10-29 09:38,2015-10-29 09:44,
OBP,0.70,2015-10-29 08:56,2015-10-29 09:38,
GDG,0.07,2015-10-29 08:52,2015-10-29 08:56,
Chaos,0.22,2015-10-29 08:39,2015-10-29 08:52,
交通,0.45,2015-10-29 08:12,2015-10-29 08:39,
睡眠,6.75,2015-10-29 01:27,2015-10-29 08:12,
Chaos,0.97,2015-10-29 00:29,2015-10-29 01:27,
交通,0.25,2015-10-29 00:14,2015-10-29 00:29,
GDG,2.53,2015-10-28 21:42,2015-10-29 00:14,
GDG,0.95,2015-10-28 20:45,2015-10-28 21:42,
工作,0.78,2015-10-28 19:58,2015-10-28 20:45,
交通,0.17,2015-10-28 19:48,2015-10-28 19:58,
用餐,1.52,2015-10-28 18:17,2015-10-28 19:48,
学习,0.78,2015-10-28 17:30,2015-10-28 18:17,
交流,1.05,2015-10-28 16:27,2015-10-28 17:30,
Chaos,0.50,2015-10-28 15:57,2015-10-28 16:27,
GDG,1.48,2015-10-28 14:28,2015-10-28 15:57,
Chaos,1.65,2015-10-28 12:49,2015-10-28 14:28,
