活动类别,持续时间,开始时间,结束时间,备注
GDG,0.32,2015-06-01 23:55,2015-06-02 00:14,
GDG,1.00,2015-06-01 22:55,2015-06-01 23:55,
Chaos,1.07,2015-06-01 21:51,2015-06-01 22:55,
GDG,1.02,2015-06-01 20:50,2015-06-01 21:51,
Chaos,0.37,2015-06-01 20:28,2015-06-01 20:50,
交通,0.20,2015-06-01 20:16,2015-06-01 20:28,
交通,0.75,2015-06-01 19:31,2015-06-01 20:16,
购物,0.27,2015-06-01 19:15,2015-06-01 19:31,
交通,0.47,2015-06-01 18:47,2015-06-01 19:15,
家务,0.18,2015-06-01 18:36,2015-06-01 18:47,
Chaos,1.40,2015-06-01 17:12,2015-06-01 18:36,
OBP,2.02,2015-06-01 15:11,2015-06-01 17:12,
Chaos,0.43,2015-06-01 14:45,2015-06-01 15:11,
交通,0.42,2015-06-01 14:20,2015-06-01 14:45,
家务,1.67,2015-06-01 12:40,2015-06-01 14:20,
用餐,0.47,2015-06-01 12:12,2015-06-01 12:40,
交通,0.22,2015-06-01 11:59,2015-06-01 12:12,
Chaos,0.97,2015-06-01 11:01,2015-06-01 11:59,
Pt0,0.43,2015-06-01 10:35,2015-06-01 11:01,
交流,0.35,2015-06-01 10:15,2015-06-01 10:36,
Chaos,0.98,2015-06-01 09:16,2015-06-01 10:15,
交通,1.17,2015-06-01 08:06,2015-06-01 09:16,
Air,1.28,2015-06-01 06:49,2015-06-01 08:06,
交通,0.37,2015-06-01 06:27,2015-06-01 06:49,
家务,0.27,2015-06-01 06:11,2015-06-01 06:27,
睡眠,5.02,2015-06-01 01:11,2015-06-01 06:12,
Chaos,3.77,2015-05-31 21:25,2015-06-01 01:11,
GDG,0.57,2015-05-31 20:51,2015-05-31 21:25,
交通,1.18,2015-05-31 19:40,2015-05-31 20:51,
交流,2.05,2015-05-31 17:37,2015-05-31 19:40,
交通,0.27,2015-05-31 17:21,2015-05-31 17:37,
家务,1.12,2015-05-31 16:14,2015-05-31 17:21,
睡眠,1.00,2015-05-31 15:14,2015-05-31 16:14,
Chaos,2.72,2015-05-31 12:31,2015-05-31 15:14,
家务,0.17,2015-05-31 12:21,2015-05-31 12:31,
用餐,0.40,2015-05-31 11:57,2015-05-31 12:21,
交通,0.63,2015-05-31 11:19,2015-05-31 11:57,
学习,2.02,2015-05-31 09:18,2015-05-31 11:19,
交通,0.17,2015-05-31 09:08,2015-05-31 09:18,
Chaos,0.52,2015-05-31 08:37,2015-05-31 09:08,
用餐,0.67,2015-05-31 07:57,2015-05-31 08:37,
交通,0.23,2015-05-31 07:43,2015-05-31 07:57,
家务,0.33,2015-05-31 07:23,2015-05-31 07:43,
睡眠,5.15,2015-05-31 02:14,2015-05-31 07:23,
Chaos,2.95,2015-05-30 23:17,2015-05-31 02:14,
OBP,1.67,2015-05-30 21:37,2015-05-30 23:17,
Chaos,2.12,2015-05-30 19:30,2015-05-30 21:37,
家务,0.52,2015-05-30 18:59,2015-05-30 19:30,
用餐,0.43,2015-05-30 18:33,2015-05-30 18:59,
Chaos,1.23,2015-05-30 17:19,2015-05-30 18:33,
家务,0.12,2015-05-30 17:12,2015-05-30 17:19,
睡眠,2.20,2015-05-30 15:00,2015-05-30 17:12,
家务,0.13,2015-05-30 14:52,2015-05-30 15:00,
交通,0.53,2015-05-30 14:20,2015-05-30 14:52,
用餐,0.33,2015-05-30 14:01,2015-05-30 14:21,
交通,0.77,2015-05-30 13:15,2015-05-30 14:01,
学习,3.87,2015-05-30 09:23,2015-05-30 13:15,
交通,0.60,2015-05-30 08:47,2015-05-30 09:23,
用餐,0.92,2015-05-30 07:52,2015-05-30 08:47,
交通,0.23,2015-05-30 07:38,2015-05-30 07:52,
家务,0.52,2015-05-30 07:07,2015-05-30 07:38,
睡眠,5.68,2015-05-30 01:26,2015-05-30 07:07,
Chaos,0.67,2015-05-30 00:46,2015-05-30 01:26,
家务,1.32,2015-05-29 23:27,2015-05-30 00:46,
GDG,2.25,2015-05-29 21:12,2015-05-29 23:27,
家务,0.42,2015-05-29 20:47,2015-05-29 21:12,
交通,0.60,2015-05-29 20:11,2015-05-29 20:47,
Air,1.43,2015-05-29 18:45,2015-05-29 20:11,
Chaos,0.52,2015-05-29 18:14,2015-05-29 18:45,
交通,1.10,2015-05-29 17:08,2015-05-29 18:14,
Chaos,0.48,2015-05-29 16:39,2015-05-29 17:08,
Pt0,0.43,2015-05-29 16:13,2015-05-29 16:39,
Chaos,0.13,2015-05-29 16:05,2015-05-29 16:13,
Pt0,0.82,2015-05-29 15:16,2015-05-29 16:05,
Chaos,0.92,2015-05-29 14:21,2015-05-29 15:16,
交通,0.40,2015-05-29 13:57,2015-05-29 14:21,
