活动类别,持续时间,开始时间,结束时间,备注
Chaos,2.80,2015-05-01 22:31,2015-05-02 01:19,
交流,2.02,2015-05-01 20:30,2015-05-01 22:31,
交通,1.08,2015-05-01 19:25,2015-05-01 20:30,
家务,0.97,2015-05-01 18:27,2015-05-01 19:25,
用餐,0.33,2015-05-01 18:07,2015-05-01 18:27,
家务,1.43,2015-05-01 16:41,2015-05-01 18:07,
交通,0.32,2015-05-01 16:22,2015-05-01 16:41,
睡眠,1.38,2015-05-01 14:59,2015-05-01 16:22,
家务,0.77,2015-05-01 14:13,2015-05-01 14:59,
用餐,1.75,2015-05-01 12:28,2015-05-01 14:13,
交通,0.35,2015-05-01 12:07,2015-05-01 12:28,
学习,1.12,2015-05-01 11:00,2015-05-01 12:07,
Chaos,0.43,2015-05-01 10:34,2015-05-01 11:00,
学习,0.90,2015-05-01 09:40,2015-05-01 10:34,
学习,0.53,2015-05-01 09:08,2015-05-01 09:40,
学习,0.88,2015-05-01 08:16,2015-05-01 09:09,
交通,0.33,2015-05-01 07:56,2015-05-01 08:16,
家务,0.42,2015-05-01 07:31,2015-05-01 07:56,
睡眠,7.60,2015-04-30 23:55,2015-05-01 07:31,
Chaos,1.65,2015-04-30 22:16,2015-04-30 23:55,
家务,1.58,2015-04-30 20:41,2015-04-30 22:16,
Chaos,0.43,2015-04-30 20:15,2015-04-30 20:41,
用餐,0.70,2015-04-30 19:33,2015-04-30 20:15,
家务,0.65,2015-04-30 18:54,2015-04-30 19:33,
交通,0.37,2015-04-30 18:32,2015-04-30 18:54,
交通,0.83,2015-04-30 17:42,2015-04-30 18:32,
Air,1.27,2015-04-30 16:26,2015-04-30 17:42,
Chaos,0.38,2015-04-30 16:03,2015-04-30 16:26,
交通,0.88,2015-04-30 15:10,2015-04-30 16:03,
工作,1.40,2015-04-30 13:46,2015-04-30 15:10,
家务,1.05,2015-04-30 12:43,2015-04-30 13:46,
交通,0.10,2015-04-30 12:37,2015-04-30 12:43,
用餐,0.25,2015-04-30 12:22,2015-04-30 12:37,
交通,0.20,2015-04-30 12:10,2015-04-30 12:22,
交流,0.55,2015-04-30 11:37,2015-04-30 12:10,
Chaos,1.62,2015-04-30 10:00,2015-04-30 11:37,
用餐,0.58,2015-04-30 09:25,2015-04-30 10:00,
