活动类别,持续时间,开始时间,结束时间,备注
Chaos,1.82,2015-02-01 22:38,2015-02-02 00:27,
学习,2.00,2015-02-01 20:38,2015-02-01 22:38,
交通,0.93,2015-02-01 19:42,2015-02-01 20:38,
用餐,1.23,2015-02-01 18:28,2015-02-01 19:42,
Chaos,0.60,2015-02-01 17:52,2015-02-01 18:28,
交通,0.32,2015-02-01 17:33,2015-02-01 17:52,
家务,2.22,2015-02-01 15:20,2015-02-01 17:33,
睡眠,1.32,2015-02-01 14:01,2015-02-01 15:20,
Chaos,0.28,2015-02-01 13:44,2015-02-01 14:01,
阅读,1.85,2015-02-01 11:53,2015-02-01 13:44,
Chaos,2.35,2015-02-01 09:32,2015-02-01 11:53,
家务,1.13,2015-02-01 08:24,2015-02-01 09:32,
睡眠,7.35,2015-02-01 01:03,2015-02-01 08:24,
Chaos,4.83,2015-01-31 20:13,2015-02-01 01:03,
家务,0.73,2015-01-31 19:29,2015-01-31 20:13,
用餐,0.35,2015-01-31 19:08,2015-01-31 19:29,
OBP,1.97,2015-01-31 17:10,2015-01-31 19:08,
家务,0.53,2015-01-31 16:38,2015-01-31 17:10,
睡眠,1.42,2015-01-31 15:13,2015-01-31 16:38,
Chaos,0.22,2015-01-31 15:00,2015-01-31 15:13,
OBP,0.20,2015-01-31 14:48,2015-01-31 15:00,
交通,1.67,2015-01-31 13:08,2015-01-31 14:48,
用餐,1.35,2015-01-31 11:47,2015-01-31 13:08,
交通,0.57,2015-01-31 11:13,2015-01-31 11:47,
家务,2.82,2015-01-31 08:24,2015-01-31 11:13,
睡眠,7.65,2015-01-31 00:45,2015-01-31 08:24,
Chaos,0.67,2015-01-31 00:05,2015-01-31 00:45,
家务,0.30,2015-01-30 23:47,2015-01-31 00:05,
交通,0.72,2015-01-30 23:04,2015-01-30 23:47,
Chaos,1.95,2015-01-30 21:07,2015-01-30 23:04,
交流,1.92,2015-01-30 19:12,2015-01-30 21:07,
交通,0.53,2015-01-30 18:40,2015-01-30 19:12,
Chaos,3.63,2015-01-30 15:01,2015-01-30 18:39,
交通,0.95,2015-01-30 14:04,2015-01-30 15:01,
Chaos,0.97,2015-01-30 13:06,2015-01-30 14:04,
用餐,0.30,2015-01-30 12:48,2015-01-30 13:06,
Chaos,0.23,2015-01-30 12:34,2015-01-30 12:48,
交通,1.52,2015-01-30 11:03,2015-01-30 12:34,
Air,3.97,2015-01-30 07:05,2015-01-30 11:03,
交通,1.15,2015-01-30 05:56,2015-01-30 07:05,
睡眠,6.30,2015-01-29 23:38,2015-01-30 05:56,
Chaos,0.82,2015-01-29 22:49,2015-01-29 23:38,
交通,0.98,2015-01-29 21:50,2015-01-29 22:49,
交流,0.37,2015-01-29 21:28,2015-01-29 21:50,
GDG,0.82,2015-01-29 20:39,2015-01-29 21:28,
用餐,0.80,2015-01-29 19:51,2015-01-29 20:39,
Chaos,0.13,2015-01-29 19:43,2015-01-29 19:51,
GDG,1.23,2015-01-29 18:29,2015-01-29 19:43,
工作,0.05,2015-01-29 18:26,2015-01-29 18:29,
Chaos,1.20,2015-01-29 17:14,2015-01-29 18:26,
交流,0.20,2015-01-29 17:03,2015-01-29 17:15,
GDG,1.30,2015-01-29 15:45,2015-01-29 17:03,
Chaos,0.32,2015-01-29 15:26,2015-01-29 15:45,
工作,2.08,2015-01-29 13:21,2015-01-29 15:26,
Chaos,1.07,2015-01-29 12:17,2015-01-29 13:21,
交通,0.22,2015-01-29 12:04,2015-01-29 12:17,
Chaos,0.18,2015-01-29 11:53,2015-01-29 12:04,
工作,1.97,2015-01-29 09:55,2015-01-29 11:53,
工作,0.10,2015-01-29 09:49,2015-01-29 09:55,
用餐,1.18,2015-01-29 08:38,2015-01-29 09:49,
交通,0.20,2015-01-29 08:26,2015-01-29 08:38,
家务,0.28,2015-01-29 08:09,2015-01-29 08:26,
睡眠,8.45,2015-01-28 23:42,2015-01-29 08:09,
Chaos,0.72,2015-01-28 22:59,2015-01-28 23:42,
交流,1.15,2015-01-28 21:50,2015-01-28 22:59,
Chaos,0.38,2015-01-28 21:27,2015-01-28 21:50,
工作,2.12,2015-01-28 19:20,2015-01-28 21:27,
Chaos,0.37,2015-01-28 18:58,2015-01-28 19:20,
阅读,0.47,2015-01-28 18:30,2015-01-28 18:58,
工作,3.00,2015-01-28 15:30,2015-01-28 18:30,
交通,1.37,2015-01-28 14:08,2015-01-28 15:30,
交流,1.93,2015-01-28 12:12,2015-01-28 14:08,
交通,1.15,2015-01-28 11:03,2015-01-28 12:12,
工作,0.50,2015-01-28 10:33,2015-01-28 11:03,
交流,0.40,2015-01-28 10:09,2015-01-28 10:33,
Chaos,1.08,2015-01-28 09:04,2015-01-28 10:09,
用餐,0.35,2015-01-28 08:43,2015-01-28 09:04,
Chaos,0.13,2015-01-28 08:35,2015-01-28 08:43,
家务,0.95,2015-01-28 07:38,2015-01-28 08:35,
睡眠,6.40,2015-01-28 01:14,2015-01-28 07:38,
Chaos,0.53,2015-01-28 00:42,2015-01-28 01:14,
交通,0.50,2015-01-28 00:12,2015-01-28 00:42,
