活动类别,持续时间,开始时间,结束时间,备注
Pt0,2.9,09/01/13 23:08,09/02/13 02:02,
Pt0,1.1,09/01/13 22:01,09/01/13 23:08,
用餐,0.6,09/01/13 21:26,09/01/13 22:01,
Chaos,0.1,09/01/13 21:22,09/01/13 21:26,
Pt0,2.0,09/01/13 19:20,09/01/13 21:22,
Chaos,2.2,09/01/13 17:08,09/01/13 19:20,
Pt0,1.8,09/01/13 15:18,09/01/13 17:08,
交流,1.3,09/01/13 14:00,09/01/13 15:18,
Chaos,0.6,09/01/13 13:24,09/01/13 14:00,
交流,0.9,09/01/13 12:27,09/01/13 13:24,
Pt0,1.8,09/01/13 10:37,09/01/13 12:27,
交通,0.3,09/01/13 10:20,09/01/13 10:37,
家务,1.6,09/01/13 08:44,09/01/13 10:20,
睡眠,7.3,09/01/13 01:24,09/01/13 08:44,
Chaos,4.2,08/31/13 21:12,09/01/13 01:24,
交通,0.2,08/31/13 20:59,08/31/13 21:12,
Chaos,0.1,08/31/13 20:51,08/31/13 20:59,
Pt0,1.1,08/31/13 19:47,08/31/13 20:51,
用餐,1.0,08/31/13 18:50,08/31/13 19:48,
Chaos,1.4,08/31/13 17:24,08/31/13 18:50,
Pt0,2.0,08/31/13 15:24,08/31/13 17:24,
用餐,2.1,08/31/13 13:17,08/31/13 15:24,
Chaos,0.1,08/31/13 13:10,08/31/13 13:17,
Pt0,1.6,08/31/13 11:36,08/31/13 13:10,
工作,0.1,08/31/13 11:30,08/31/13 11:36,
用餐,1.4,08/31/13 10:04,08/31/13 11:30,
Chaos,0.3,08/31/13 09:46,08/31/13 10:04,
睡眠,7.8,08/31/13 01:59,08/31/13 09:46,
Chaos,2.0,08/30/13 23:58,08/31/13 01:59,
交通,0.1,08/30/13 23:55,08/30/13 23:58,
Chaos,0.2,08/30/13 23:44,08/30/13 23:55,
Pt0,0.8,08/30/13 22:57,08/30/13 23:44,
Chaos,0.2,08/30/13 22:43,08/30/13 22:57,
GDG,1.0,08/30/13 21:40,08/30/13 22:43,
用餐,1.1,08/30/13 20:34,08/30/13 21:40,
Chaos,0.5,08/30/13 20:04,08/30/13 20:34,
交流,1.3,08/30/13 18:45,08/30/13 20:04,
