活动类别,持续时间,开始时间,结束时间,备注
Chaos,3.7,04/01 20:54,04/02 00:35,
交通,11.6,04/01 09:18,04/01 20:54,
用餐,0.4,04/01 08:56,04/01 09:18,
Chaos,0.7,04/01 08:12,04/01 08:56,
睡眠,4.9,04/01 03:15,04/01 08:12,
Chaos,0.3,04/01 02:55,04/01 03:15,
家务,8.7,03/31 18:13,04/01 02:55,
Chaos,1.2,03/31 17:02,03/31 18:13,
娱乐,2.5,03/31 14:33,03/31 17:02,
交通,2.9,03/31 11:37,03/31 14:33,
交流,0.2,03/31 11:25,03/31 11:37,
Chaos,3.0,03/31 08:27,03/31 11:25,
睡眠,6.8,03/31 01:42,03/31 08:27,
GDG,1.1,03/31 00:38,03/31 01:42,
交通,1.8,03/30 22:50,03/31 00:38,
GDG,8.5,03/30 14:21,03/30 22:50,
GDG,4.0,03/30 10:20,03/30 14:21,
Chaos,1.5,03/30 08:51,03/30 10:20,
睡眠,7.4,03/30 01:27,03/30 08:51,
电影,0.8,03/30 00:42,03/30 01:27,
Chaos,0.1,03/30 00:35,03/30 00:42,
上网,2.6,03/29 22:01,03/30 00:35,
交流,3.8,03/29 18:12,03/29 22:01,
GDG,0.6,03/29 17:37,03/29 18:12,
Chaos,0.5,03/29 17:07,03/29 17:37,
交流,0.9,03/29 16:12,03/29 17:07,
GDG,0.0,03/29 16:09,03/29 16:12,
交流,0.2,03/29 15:57,03/29 16:09,
GDG,1.4,03/29 14:35,03/29 15:57,
Chaos,1.1,03/29 13:30,03/29 14:35,
用餐,1.3,03/29 12:12,03/29 13:30,
交流,2.4,03/29 09:46,03/29 12:12,
Chaos,1.2,03/29 08:32,03/29 09:46,
交通,0.8,03/29 07:41,03/29 08:32,
Chaos,0.5,03/29 07:09,03/29 07:41,
睡眠,5.6,03/29 01:35,03/29 07:09,
电影,1.3,03/29 00:17,03/29 01:35,
Chaos,0.4,03/28 23:51,03/29 00:17,
交流,2.1,03/28 21:45,03/28 23:51,
Chaos,0.3,03/28 21:28,03/28 21:45,
家务,2.3,03/28 19:09,03/28 21:28,
Chaos,0.2,03/28 18:56,03/28 19:09,
GDG,0.3,03/28 18:35,03/28 18:56,
交流,0.3,03/28 18:18,03/28 18:35,
GDG,0.9,03/28 17:24,03/28 18:18,
GDG,1.4,03/28 16:02,03/28 17:24,
