活动类别,持续时间,开始时间,结束时间,备注
Chaos,2.07,2015-10-01 23:16,2015-10-02 01:20,
阅读,1.28,2015-10-01 21:59,2015-10-01 23:16,
Chaos,0.88,2015-10-01 21:6,2015-10-01 21:59,
Chaos,1.30,2015-10-01 19:48,2015-10-01 21:6,
家务,0.82,2015-10-01 18:59,2015-10-01 19:48,
用餐,0.72,2015-10-01 18:16,2015-10-01 18:59,
家务,0.13,2015-10-01 18:8,2015-10-01 18:16,
交通,0.53,2015-10-01 17:36,2015-10-01 18:8,
家务,0.27,2015-10-01 17:20,2015-10-01 17:36,
睡眠,1.95,2015-10-01 15:23,2015-10-01 17:20,
上网,0.97,2015-10-01 14:25,2015-10-01 15:23,
交通,0.45,2015-10-01 13:58,2015-10-01 14:25,
用餐,1.00,2015-10-01 12:58,2015-10-01 13:58,
电影,1.77,2015-10-01 11:12,2015-10-01 12:58,
交通,0.82,2015-10-01 10:23,2015-10-01 11:12,
家务,1.85,2015-10-01 08:32,2015-10-01 10:23,
睡眠,7.92,2015-10-01 00:37,2015-10-01 08:32,
Chaos,1.72,2015-09-30 22:54,2015-10-01 00:37,
家务,0.68,2015-09-30 22:13,2015-09-30 22:54,
Chaos,1.50,2015-09-30 20:43,2015-09-30 22:13,
用餐,0.30,2015-09-30 20:25,2015-09-30 20:43,
家务,0.17,2015-09-30 20:15,2015-09-30 20:25,
交通,2.80,2015-09-30 17:27,2015-09-30 20:15,
Chaos,1.45,2015-09-30 16:0,2015-09-30 17:27,
工作,1.15,2015-09-30 14:51,2015-09-30 16:0,
Chaos,0.20,2015-09-30 14:39,2015-09-30 14:51,
交通,0.15,2015-09-30 14:30,2015-09-30 14:39,
Chaos,0.85,2015-09-30 13:39,2015-09-30 14:30,
交通,0.55,2015-09-30 13:6,2015-09-30 13:39,
上网,0.07,2015-09-30 13:2,2015-09-30 13:6,
GDG,2.03,2015-09-30 11:0,2015-09-30 13:2,
交流,0.43,2015-09-30 10:34,2015-09-30 11:0,
GDG,1.40,2015-09-30 09:10,2015-09-30 10:34,
交通,0.40,2015-09-30 08:46,2015-09-30 09:10,
家务,0.60,2015-09-30 08:10,2015-09-30 08:46,
睡眠,5.57,2015-09-30 02:36,2015-09-30 08:10,
Chaos,0.23,2015-09-30 02:22,2015-09-30 02:36,
交通,1.27,2015-09-30 01:6,2015-09-30 02:22,
GDG,1.38,2015-09-29 23:43,2015-09-30 01:6,
Chaos,0.77,2015-09-29 22:57,2015-09-29 23:43,
GDG,1.53,2015-09-29 21:25,2015-09-29 22:57,
Chaos,1.22,2015-09-29 20:12,2015-09-29 21:25,
交通,0.18,2015-09-29 20:1,2015-09-29 20:12,
用餐,0.57,2015-09-29 19:27,2015-09-29 20:1,
购物,0.17,2015-09-29 19:17,2015-09-29 19:27,
交通,0.23,2015-09-29 19:3,2015-09-29 19:17,
Chaos,1.15,2015-09-29 17:54,2015-09-29 19:3,
工作,1.17,2015-09-29 16:44,2015-09-29 17:54,
GDG,0.25,2015-09-29 16:29,2015-09-29 16:44,
工作,1.40,2015-09-29 15:5,2015-09-29 16:29,
Chaos,0.30,2015-09-29 14:47,2015-09-29 15:5,
交通,0.37,2015-09-29 14:25,2015-09-29 14:47,
Chaos,0.92,2015-09-29 13:30,2015-09-29 14:25,
交通,0.03,2015-09-29 13:28,2015-09-29 13:30,
用餐,0.28,2015-09-29 13:11,2015-09-29 13:28,
交通,0.33,2015-09-29 12:51,2015-09-29 13:11,
交流,0.68,2015-09-29 12:10,2015-09-29 12:51,
工作,0.97,2015-09-29 11:12,2015-09-29 12:10,
GDG,0.47,2015-09-29 10:44,2015-09-29 11:12,
交流,0.45,2015-09-29 10:17,2015-09-29 10:44,
Chaos,1.32,2015-09-29 08:58,2015-09-29 10:17,
交通,0.42,2015-09-29 08:33,2015-09-29 08:58,
家务,0.58,2015-09-29 07:58,2015-09-29 08:33,
睡眠,6.07,2015-09-29 01:54,2015-09-29 07:58,
Chaos,0.77,2015-09-29 01:8,2015-09-29 01:54,
交通,0.45,2015-09-29 00:41,2015-09-29 01:8,
GDG,2.75,2015-09-28 21:56,2015-09-29 00:41,
Chaos,0.27,2015-09-28 21:40,2015-09-28 21:56,
交通,0.60,2015-09-28 21:4,2015-09-28 21:40,
娱乐,2.03,2015-09-28 19:2,2015-09-28 21:4,
用餐,1.87,2015-09-28 17:10,2015-09-28 19:2,
工作,1.30,2015-09-28 15:52,2015-09-28 17:10,
交流,0.20,2015-09-28 15:40,2015-09-28 15:52,
Chaos,0.80,2015-09-28 14:52,2015-09-28 15:40,
交通,0.55,2015-09-28 14:19,2015-09-28 14:52,
Chaos,0.87,2015-09-28 13:27,2015-09-28 14:19,
交通,0.12,2015-09-28 13:20,2015-09-28 13:27,
用餐,0.13,2015-09-28 13:12,2015-09-28 13:20,
交通,0.22,2015-09-28 12:59,2015-09-28 13:12,
交流,0.70,2015-09-28 12:17,2015-09-28 12:59,
工作,0.45,2015-09-28 11:50,2015-09-28 12:17,
交流,0.57,2015-09-28 11:16,2015-09-28 11:50,
Chaos,0.62,2015-09-28 10:39,2015-09-28 11:16,
交流,0.37,2015-09-28 10:17,2015-09-28 10:39,
Chaos,0.25,2015-09-28 10:2,2015-09-28 10:17,
GDG,0.90,2015-09-28 09:8,2015-09-28 10:2,
交通,0.37,2015-09-28 08:46,2015-09-28 09:8,
家务,0.32,2015-09-28 08:27,2015-09-28 08:46,
睡眠,6.62,2015-09-28 01:50,2015-09-28 08:27,
家务,0.83,2015-09-28 01:0,2015-09-28 01:50,
交通,0.40,2015-09-28 00:36,2015-09-28 01:0,
GDG,1.27,2015-09-27 23:20,2015-09-28 00:36,
Chaos,0.50,2015-09-27 22:50,2015-09-27 23:20,
交通,1.20,2015-09-27 21:38,2015-09-27 22:50,
Air,1.18,2015-09-27 20:27,2015-09-27 21:38,
交通,0.70,2015-09-27 19:45,2015-09-27 20:27,
Chaos,1.98,2015-09-27 17:46,2015-09-27 19:45,
睡眠,2.18,2015-09-27 15:35,2015-09-27 17:46,
Chaos,0.65,2015-09-27 14:56,2015-09-27 15:35,
交通,0.37,2015-09-27 14:34,2015-09-27 14:56,
用餐,2.28,2015-09-27 12:17,2015-09-27 14:34,
交通,0.45,2015-09-27 11:50,2015-09-27 12:17,
家务,2.85,2015-09-27 08:59,2015-09-27 11:50,
睡眠,7.93,2015-09-27 01:4,2015-09-27 09:0,
Chaos,3.50,2015-09-26 21:34,2015-09-27 01:4,
家务,1.52,2015-09-26 20:3,2015-09-26 21:34,
交通,0.10,2015-09-26 19:57,2015-09-26 20:3,
家务,0.67,2015-09-26 19:17,2015-09-26 19:57,
用餐,0.87,2015-09-26 18:25,2015-09-26 19:17,
家务,0.43,2015-09-26 17:59,2015-09-26 18:25,
交通,0.58,2015-09-26 17:24,2015-09-26 17:59,
Chaos,2.23,2015-09-26 15:10,2015-09-26 17:24,
家务,1.88,2015-09-26 13:17,2015-09-26 15:10,
交通,0.18,2015-09-26 13:6,2015-09-26 13:17,
用餐,0.23,2015-09-26 12:52,2015-09-26 13:6,
交通,0.20,2015-09-26 12:40,2015-09-26 12:52,
家务,1.23,2015-09-26 11:26,2015-09-26 12:40,
交通,1.70,2015-09-26 09:44,2015-09-26 11:26,
家务,0.42,2015-09-26 09:19,2015-09-26 09:44,
睡眠,8.33,2015-09-26 00:59,2015-09-26 09:19,
Chaos,0.27,2015-09-26 00:43,2015-09-26 00:59,
GDG,1.55,2015-09-25 23:10,2015-09-26 00:43,
阅读,0.55,2015-09-25 22:37,2015-09-25 23:10,
Chaos,0.35,2015-09-25 22:16,2015-09-25 22:37,
家务,0.95,2015-09-25 21:19,2015-09-25 22:16,
交通,0.85,2015-09-25 20:28,2015-09-25 21:19,
Air,1.17,2015-09-25 19:18,2015-09-25 20:28,
Chaos,0.58,2015-09-25 18:43,2015-09-25 19:18,
交通,1.32,2015-09-25 17:24,2015-09-25 18:43,
OBP,0.98,2015-09-25 16:25,2015-09-25 17:24,
上网,0.20,2015-09-25 16:13,2015-09-25 16:25,
Chaos,0.45,2015-09-25 15:46,2015-09-25 16:13,
交流,0.47,2015-09-25 15:18,2015-09-25 15:46,
工作,0.23,2015-09-25 15:4,2015-09-25 15:18,
Chaos,0.37,2015-09-25 14:42,2015-09-25 15:4,
交通,0.27,2015-09-25 14:26,2015-09-25 14:42,
Chaos,1.10,2015-09-25 13:20,2015-09-25 14:26,
家务,0.28,2015-09-25 13:3,2015-09-25 13:20,
交通,0.08,2015-09-25 12:58,2015-09-25 13:3,
用餐,0.25,2015-09-25 12:43,2015-09-25 12:58,
交通,0.23,2015-09-25 12:29,2015-09-25 12:43,
GDG,0.80,2015-09-25 11:41,2015-09-25 12:29,
工作,0.87,2015-09-25 10:49,2015-09-25 11:41,
Chaos,0.35,2015-09-25 10:28,2015-09-25 10:49,
交流,1.12,2015-09-25 09:21,2015-09-25 10:28,
交通,0.32,2015-09-25 09:2,2015-09-25 09:21,
家务,1.07,2015-09-25 07:58,2015-09-25 09:2,
睡眠,5.50,2015-09-25 02:28,2015-09-25 07:58,
Chaos,0.42,2015-09-25 02:3,2015-09-25 02:28,
家务,0.50,2015-09-25 01:33,2015-09-25 02:3,
交通,0.33,2015-09-25 01:13,2015-09-25 01:33,
Chaos,0.28,2015-09-25 00:56,2015-09-25 01:13,
GDG,2.78,2015-09-24 22:9,2015-09-25 00:56,
工作,1.08,2015-09-24 21:4,2015-09-24 22:9,
交通,0.33,2015-09-24 20:44,2015-09-24 21:4,
用餐,0.75,2015-09-24 19:59,2015-09-24 20:44,
交通,0.22,2015-09-24 19:46,2015-09-24 19:59,
Chaos,0.87,2015-09-24 18:54,2015-09-24 19:46,
OBP,2.20,2015-09-24 16:42,2015-09-24 18:54,
工作,0.87,2015-09-24 15:50,2015-09-24 16:42,
购物,0.37,2015-09-24 15:27,2015-09-24 15:49,
