活动类别,持续时间,开始时间,结束时间,备注
家务,0.53,2015-09-01 23:44,2015-09-02 00:16,
交通,0.25,2015-09-01 23:29,2015-09-01 23:44,
GDG,3.15,2015-09-01 20:20,2015-09-01 23:29,
交通,0.12,2015-09-01 20:13,2015-09-01 20:20,
用餐,0.53,2015-09-01 19:41,2015-09-01 20:13,
交通,0.32,2015-09-01 19:22,2015-09-01 19:41,
GDG,1.93,2015-09-01 17:26,2015-09-01 19:22,
上网,0.40,2015-09-01 17:2,2015-09-01 17:26,
GDG,1.73,2015-09-01 15:18,2015-09-01 17:2,
Pt0,0.23,2015-09-01 15:4,2015-09-01 15:18,
Chaos,0.25,2015-09-01 14:49,2015-09-01 15:4,
交通,0.33,2015-09-01 14:29,2015-09-01 14:49,
Chaos,1.60,2015-09-01 12:53,2015-09-01 14:29,
家务,0.05,2015-09-01 12:50,2015-09-01 12:53,
用餐,0.43,2015-09-01 12:24,2015-09-01 12:50,
交通,0.30,2015-09-01 12:6,2015-09-01 12:24,
Chaos,1.15,2015-09-01 10:57,2015-09-01 12:6,
交流,1.52,2015-09-01 09:26,2015-09-01 10:57,
Chaos,0.10,2015-09-01 09:20,2015-09-01 09:26,
交通,0.80,2015-09-01 08:32,2015-09-01 09:20,
家务,1.00,2015-09-01 07:32,2015-09-01 08:32,
睡眠,7.23,2015-09-01 00:18,2015-09-01 07:32,
家务,1.55,2015-08-31 22:45,2015-09-01 00:18,
交通,0.25,2015-08-31 22:30,2015-08-31 22:45,
Chaos,0.28,2015-08-31 22:13,2015-08-31 22:30,
上网,0.50,2015-08-31 21:42,2015-08-31 22:12,
Pt0,1.18,2015-08-31 20:31,2015-08-31 21:42,
Chaos,0.30,2015-08-31 20:13,2015-08-31 20:31,
交通,0.22,2015-08-31 20:0,2015-08-31 20:13,
购物,0.23,2015-08-31 19:46,2015-08-31 20:0,
用餐,0.37,2015-08-31 19:24,2015-08-31 19:46,
交通,0.25,2015-08-31 19:9,2015-08-31 19:24,
Pt0,0.25,2015-08-31 18:54,2015-08-31 19:9,
上网,0.22,2015-08-31 18:41,2015-08-31 18:54,
交流,0.52,2015-08-31 18:10,2015-08-31 18:41,
Pt0,1.13,2015-08-31 17:2,2015-08-31 18:10,
Chaos,0.22,2015-08-31 16:49,2015-08-31 17:2,
交流,1.28,2015-08-31 15:32,2015-08-31 16:49,
Pt0,0.22,2015-08-31 15:19,2015-08-31 15:32,
Chaos,0.60,2015-08-31 14:43,2015-08-31 15:19,
交通,0.38,2015-08-31 14:20,2015-08-31 14:43,
Chaos,0.63,2015-08-31 13:42,2015-08-31 14:20,
家务,1.00,2015-08-31 12:42,2015-08-31 13:42,
交通,0.10,2015-08-31 12:36,2015-08-31 12:42,
用餐,0.32,2015-08-31 12:17,2015-08-31 12:36,
交通,0.27,2015-08-31 12:1,2015-08-31 12:17,
交流,0.05,2015-08-31 11:58,2015-08-31 12:1,
上网,0.25,2015-08-31 11:43,2015-08-31 11:58,
OBP,0.45,2015-08-31 11:16,2015-08-31 11:43,
Chaos,0.55,2015-08-31 10:43,2015-08-31 11:16,
交流,0.45,2015-08-31 10:16,2015-08-31 10:43,
Chaos,0.38,2015-08-31 09:53,2015-08-31 10:16,
交通,1.73,2015-08-31 08:9,2015-08-31 09:53,
Air,1.28,2015-08-31 06:52,2015-08-31 08:9,
Chaos,0.18,2015-08-31 06:41,2015-08-31 06:52,
交通,0.27,2015-08-31 06:25,2015-08-31 06:41,
睡眠,5.25,2015-08-31 01:10,2015-08-31 06:25,
Chaos,4.20,2015-08-30 20:58,2015-08-31 01:10,
家务,1.03,2015-08-30 19:56,2015-08-30 20:58,
用餐,1.37,2015-08-30 18:34,2015-08-30 19:56,
Chaos,1.07,2015-08-30 17:30,2015-08-30 18:34,
上网,0.22,2015-08-30 17:17,2015-08-30 17:30,
家务,0.18,2015-08-30 17:6,2015-08-30 17:17,
睡眠,2.43,2015-08-30 14:40,2015-08-30 17:6,
