活动类别,持续时间,开始时间,结束时间,备注
娱乐,0.93,2015-03-01 23:12,2015-03-02 00:08,
Chaos,2.37,2015-03-01 20:50,2015-03-01 23:12,
交通,1.10,2015-03-01 19:44,2015-03-01 20:50,
家务,0.78,2015-03-01 18:57,2015-03-01 19:44,
用餐,1.03,2015-03-01 17:55,2015-03-01 18:57,
交通,0.23,2015-03-01 17:41,2015-03-01 17:55,
家务,0.85,2015-03-01 16:50,2015-03-01 17:41,
交流,1.42,2015-03-01 15:25,2015-03-01 16:50,
电影,1.92,2015-03-01 13:30,2015-03-01 15:25,
用餐,0.92,2015-03-01 12:35,2015-03-01 13:30,
电影,2.32,2015-03-01 10:16,2015-03-01 12:35,
交通,0.10,2015-03-01 10:10,2015-03-01 10:16,
家务,0.98,2015-03-01 09:11,2015-03-01 10:10,
睡眠,6.87,2015-03-01 02:19,2015-03-01 09:11,
电影,0.50,2015-03-01 01:49,2015-03-01 02:19,
Chaos,2.92,2015-02-28 22:54,2015-03-01 01:49,
用餐,1.28,2015-02-28 21:37,2015-02-28 22:54,
家务,0.85,2015-02-28 20:46,2015-02-28 21:37,
交通,2.37,2015-02-28 18:24,2015-02-28 20:46,
交流,1.05,2015-02-28 17:21,2015-02-28 18:24,
工作,1.32,2015-02-28 16:02,2015-02-28 17:21,
Chaos,0.63,2015-02-28 15:24,2015-02-28 16:02,
工作,1.18,2015-02-28 14:13,2015-02-28 15:24,
交流,1.00,2015-02-28 13:13,2015-02-28 14:13,
Chaos,1.67,2015-02-28 11:33,2015-02-28 13:13,
OBP,0.17,2015-02-28 11:23,2015-02-28 11:33,
Chaos,0.73,2015-02-28 10:39,2015-02-28 11:23,
交流,0.50,2015-02-28 10:10,2015-02-28 10:40,
工作,0.70,2015-02-28 09:28,2015-02-28 10:10,
Chaos,0.28,2015-02-28 09:11,2015-02-28 09:28,
交通,0.08,2015-02-28 09:06,2015-02-28 09:11,
交通,0.25,2015-02-28 08:52,2015-02-28 09:07,
家务,1.05,2015-02-28 07:49,2015-02-28 08:52,
睡眠,6.08,2015-02-28 01:44,2015-02-28 07:49,
阅读,0.50,2015-02-28 01:14,2015-02-28 01:44,
Chaos,1.83,2015-02-27 23:24,2015-02-28 01:14,
阅读,1.83,2015-02-27 21:34,2015-02-27 23:24,
用餐,1.00,2015-02-27 20:34,2015-02-27 21:34,
交通,1.87,2015-02-27 18:42,2015-02-27 20:34,
工作,0.88,2015-02-27 17:49,2015-02-27 18:42,
Chaos,0.43,2015-02-27 17:23,2015-02-27 17:49,
工作,2.80,2015-02-27 14:35,2015-02-27 17:23,
交流,0.87,2015-02-27 13:44,2015-02-27 14:36,
家务,0.92,2015-02-27 12:49,2015-02-27 13:44,
用餐,0.82,2015-02-27 12:00,2015-02-27 12:49,
Chaos,0.08,2015-02-27 11:55,2015-02-27 12:00,
工作,0.45,2015-02-27 11:28,2015-02-27 11:55,
交流,1.02,2015-02-27 10:28,2015-02-27 11:29,
Chaos,1.63,2015-02-27 08:50,2015-02-27 10:28,
交通,0.27,2015-02-27 08:34,2015-02-27 08:50,
家务,1.42,2015-02-27 07:09,2015-02-27 08:34,
睡眠,7.62,2015-02-26 23:32,2015-02-27 07:09,
Chaos,1.83,2015-02-26 21:42,2015-02-26 23:32,
交通,0.58,2015-02-26 21:07,2015-02-26 21:42,
OBP,0.63,2015-02-26 20:29,2015-02-26 21:07,
Chaos,0.22,2015-02-26 20:16,2015-02-26 20:29,
交流,0.52,2015-02-26 19:45,2015-02-26 20:16,
用餐,1.35,2015-02-26 18:24,2015-02-26 19:45,
交流,3.00,2015-02-26 15:24,2015-02-26 18:24,
工作,1.00,2015-02-26 14:24,2015-02-26 15:24,
交流,1.23,2015-02-26 13:10,2015-02-26 14:24,
用餐,1.05,2015-02-26 12:07,2015-02-26 13:10,
工作,1.40,2015-02-26 10:43,2015-02-26 12:07,
交通,1.15,2015-02-26 09:34,2015-02-26 10:43,
睡眠,9.02,2015-02-26 00:34,2015-02-26 09:35,
娱乐,3.52,2015-02-25 21:03,2015-02-26 00:34,
交流,3.40,2015-02-25 17:39,2015-02-25 21:03,
交通,2.38,2015-02-25 15:16,2015-02-25 17:39,
家务,2.03,2015-02-25 13:14,2015-02-25 15:16,
Chaos,2.55,2015-02-25 10:41,2015-02-25 13:14,
家务,2.42,2015-02-25 08:16,2015-02-25 10:41,
睡眠,8.63,2015-02-24 23:38,2015-02-25 08:16,
Chaos,0.72,2015-02-24 22:55,2015-02-24 23:38,
GDG,0.45,2015-02-24 22:28,2015-02-24 22:55,
Chaos,0.02,2015-02-24 22:28,2015-02-24 22:29,
用餐,3.05,2015-02-24 19:25,2015-02-24 22:28,
Chaos,1.35,2015-02-24 18:04,2015-02-24 19:25,
家务,3.92,2015-02-24 14:09,2015-02-24 18:04,
用餐,1.03,2015-02-24 13:07,2015-02-24 14:09,
交通,2.15,2015-02-24 10:58,2015-02-24 13:07,
Air,2.40,2015-02-24 08:34,2015-02-24 10:58,
交通,2.22,2015-02-24 06:21,2015-02-24 08:34,
家务,0.67,2015-02-24 05:41,2015-02-24 06:21,
睡眠,7.02,2015-02-23 22:41,2015-02-24 05:42,
Chaos,0.80,2015-02-23 21:53,2015-02-23 22:41,
家务,0.42,2015-02-23 21:28,2015-02-23 21:53,
用餐,0.88,2015-02-23 20:35,2015-02-23 21:28,
Chaos,0.82,2015-02-23 19:46,2015-02-23 20:35,
购物,5.00,2015-02-23 14:46,2015-02-23 19:46,
交通,1.27,2015-02-23 13:30,2015-02-23 14:46,
Air,1.50,2015-02-23 12:00,2015-02-23 13:30,
交通,1.02,2015-02-23 10:59,2015-02-23 12:00,
家务,3.63,2015-02-23 07:21,2015-02-23 10:59,
睡眠,8.92,2015-02-22 22:26,2015-02-23 07:21,
Chaos,4.45,2015-02-22 17:59,2015-02-22 22:26,
交通,0.42,2015-02-22 17:34,2015-02-22 17:59,
交通,2.18,2015-02-22 15:23,2015-02-22 17:34,
Chaos,1.60,2015-02-22 13:47,2015-02-22 15:23,
用餐,1.72,2015-02-22 12:04,2015-02-22 13:47,
交通,1.78,2015-02-22 10:17,2015-02-22 12:04,
娱乐,1.23,2015-02-22 09:03,2015-02-22 10:17,
家务,1.32,2015-02-22 07:44,2015-02-22 09:03,
睡眠,7.47,2015-02-22 00:16,2015-02-22 07:44,
Chaos,1.82,2015-02-21 22:27,2015-02-22 00:16,
家务,0.72,2015-02-21 21:44,2015-02-21 22:27,
交通,0.98,2015-02-21 20:45,2015-02-21 21:44,
用餐,1.95,2015-02-21 18:48,2015-02-21 20:45,
交通,1.53,2015-02-21 17:16,2015-02-21 18:48,
娱乐,5.27,2015-02-21 12:00,2015-02-21 17:16,
Chaos,1.55,2015-02-21 10:27,2015-02-21 12:00,
娱乐,0.65,2015-02-21 09:48,2015-02-21 10:27,
用餐,1.68,2015-02-21 08:07,2015-02-21 09:48,
睡眠,8.83,2015-02-20 23:17,2015-02-21 08:07,
家务,2.02,2015-02-20 21:16,2015-02-20 23:17,
交通,0.45,2015-02-20 20:49,2015-02-20 21:16,
用餐,0.72,2015-02-20 20:06,2015-02-20 20:49,
交通,1.43,2015-02-20 18:40,2015-02-20 20:06,
就医,1.10,2015-02-20 17:40,2015-02-20 18:46,
家务,0.73,2015-02-20 16:56,2015-02-20 17:40,
睡眠,2.10,2015-02-20 14:50,2015-02-20 16:56,
用餐,2.62,2015-02-20 12:13,2015-02-20 14:50,
运动,2.07,2015-02-20 10:09,2015-02-20 12:13,
家务,0.18,2015-02-20 09:58,2015-02-20 10:09,
交通,0.32,2015-02-20 09:39,2015-02-20 09:58,
用餐,1.15,2015-02-20 08:30,2015-02-20 09:39,
家务,0.48,2015-02-20 08:01,2015-02-20 08:30,
睡眠,8.72,2015-02-19 23:18,2015-02-20 08:01,
