活动类别,持续时间,开始时间,结束时间,备注
Chaos,2.05,2015-07-31 22:27,2015-08-01 00:30,
家务,1.17,2015-07-31 21:17,2015-07-31 22:27,
用餐,0.58,2015-07-31 20:42,2015-07-31 21:17,
交通,0.50,2015-07-31 20:12,2015-07-31 20:42,
Air,1.47,2015-07-31 18:44,2015-07-31 20:12,
Chaos,0.43,2015-07-31 18:18,2015-07-31 18:44,
交通,1.00,2015-07-31 17:18,2015-07-31 18:18,
Chaos,0.40,2015-07-31 16:54,2015-07-31 17:18,
Pt0,1.92,2015-07-31 14:59,2015-07-31 16:54,
Chaos,0.15,2015-07-31 14:50,2015-07-31 14:59,
交通,0.32,2015-07-31 14:31,2015-07-31 14:50,
Chaos,0.87,2015-07-31 13:39,2015-07-31 14:31,
用餐,0.97,2015-07-31 12:41,2015-07-31 13:39,
交通,0.23,2015-07-31 12:27,2015-07-31 12:41,
交通,1.63,2015-07-31 10:49,2015-07-31 12:27,
交流,0.53,2015-07-31 10:17,2015-07-31 10:49,
Chaos,0.22,2015-07-31 10:04,2015-07-31 10:17,
上网,0.48,2015-07-31 09:35,2015-07-31 10:04,
Chaos,0.58,2015-07-31 09:00,2015-07-31 09:35,
交通,0.33,2015-07-31 08:40,2015-07-31 09:00,
家务,0.35,2015-07-31 08:20,2015-07-31 08:41,
睡眠,7.25,2015-07-31 01:05,2015-07-31 08:20,
Chaos,0.80,2015-07-31 00:17,2015-07-31 01:05,
家务,0.38,2015-07-30 23:54,2015-07-31 00:17,
交通,0.13,2015-07-30 23:46,2015-07-30 23:54,
Chaos,0.32,2015-07-30 23:27,2015-07-30 23:46,
Pt0,2.57,2015-07-30 20:53,2015-07-30 23:27,
Chaos,0.22,2015-07-30 20:40,2015-07-30 20:53,
学习,0.33,2015-07-30 20:20,2015-07-30 20:40,
Chaos,0.15,2015-07-30 20:11,2015-07-30 20:20,
交通,0.20,2015-07-30 19:59,2015-07-30 20:11,
用餐,0.52,2015-07-30 19:28,2015-07-30 19:59,
交通,0.22,2015-07-30 19:15,2015-07-30 19:28,
Chaos,0.68,2015-07-30 18:34,2015-07-30 19:15,
学习,1.42,2015-07-30 17:09,2015-07-30 18:34,
Chaos,0.45,2015-07-30 16:42,2015-07-30 17:09,
Pt0,0.18,2015-07-30 16:31,2015-07-30 16:42,
Chaos,0.27,2015-07-30 16:15,2015-07-30 16:31,
学习,0.80,2015-07-30 15:27,2015-07-30 16:15,
Chaos,0.05,2015-07-30 15:24,2015-07-30 15:27,
学习,0.40,2015-07-30 15:00,2015-07-30 15:24,
Chaos,0.13,2015-07-30 14:52,2015-07-30 15:00,
交通,0.27,2015-07-30 14:36,2015-07-30 14:52,
家务,0.95,2015-07-30 13:39,2015-07-30 14:36,
交通,0.08,2015-07-30 13:34,2015-07-30 13:39,
用餐,0.40,2015-07-30 13:10,2015-07-30 13:34,
交通,0.15,2015-07-30 13:01,2015-07-30 13:10,
Chaos,0.03,2015-07-30 12:59,2015-07-30 13:01,
学习,2.93,2015-07-30 10:03,2015-07-30 12:59,
Chaos,1.08,2015-07-30 08:58,2015-07-30 10:03,
交通,0.37,2015-07-30 08:36,2015-07-30 08:58,
家务,0.60,2015-07-30 08:00,2015-07-30 08:36,
睡眠,6.13,2015-07-30 01:52,2015-07-30 08:00,
Chaos,0.93,2015-07-30 00:56,2015-07-30 01:52,
家务,1.08,2015-07-29 23:51,2015-07-30 00:56,
交通,0.30,2015-07-29 23:33,2015-07-29 23:51,
交流,0.85,2015-07-29 22:42,2015-07-29 23:33,
Pt0,1.63,2015-07-29 21:04,2015-07-29 22:42,
Chaos,0.43,2015-07-29 20:38,2015-07-29 21:04,
交通,0.18,2015-07-29 20:27,2015-07-29 20:38,
用餐,0.72,2015-07-29 19:44,2015-07-29 20:27,
上网,0.70,2015-07-29 19:02,2015-07-29 19:44,
交流,1.35,2015-07-29 17:41,2015-07-29 19:02,
GDG,0.03,2015-07-29 17:39,2015-07-29 17:41,
Chaos,0.38,2015-07-29 17:16,2015-07-29 17:39,
Pt0,0.93,2015-07-29 16:20,2015-07-29 17:16,
Pt0,1.40,2015-07-29 14:56,2015-07-29 16:20,
Chaos,1.43,2015-07-29 13:30,2015-07-29 14:56,
交通,0.08,2015-07-29 13:25,2015-07-29 13:30,
用餐,0.18,2015-07-29 13:14,2015-07-29 13:25,
交通,0.25,2015-07-29 12:59,2015-07-29 13:14,
Pt0,1.82,2015-07-29 11:10,2015-07-29 12:59,
Chaos,0.03,2015-07-29 11:08,2015-07-29 11:10,
交流,0.58,2015-07-29 10:33,2015-07-29 11:08,
交流,0.30,2015-07-29 10:16,2015-07-29 10:34,
Pt0,0.72,2015-07-29 09:33,2015-07-29 10:16,
Chaos,0.63,2015-07-29 08:55,2015-07-29 09:33,
交通,0.32,2015-07-29 08:36,2015-07-29 08:55,
家务,0.43,2015-07-29 08:10,2015-07-29 08:36,
睡眠,7.47,2015-07-29 00:42,2015-07-29 08:10,
Chaos,0.43,2015-07-29 00:16,2015-07-29 00:42,
家务,0.88,2015-07-28 23:23,2015-07-29 00:16,
交通,0.32,2015-07-28 23:04,2015-07-28 23:23,
Pt0,2.45,2015-07-28 20:37,2015-07-28 23:04,
Chaos,1.13,2015-07-28 19:29,2015-07-28 20:37,
交通,0.90,2015-07-28 18:35,2015-07-28 19:29,
GDG,0.25,2015-07-28 18:20,2015-07-28 18:35,
Pt0,2.68,2015-07-28 15:39,2015-07-28 18:20,
GDG,0.35,2015-07-28 15:18,2015-07-28 15:39,
Chaos,0.53,2015-07-28 14:46,2015-07-28 15:18,
交通,0.22,2015-07-28 14:33,2015-07-28 14:46,
Chaos,1.65,2015-07-28 12:54,2015-07-28 14:33,
交通,0.12,2015-07-28 12:47,2015-07-28 12:54,
用餐,0.22,2015-07-28 12:34,2015-07-28 12:47,
交通,0.15,2015-07-28 12:25,2015-07-28 12:34,
Pt0,0.52,2015-07-28 11:54,2015-07-28 12:25,
Chaos,0.30,2015-07-28 11:36,2015-07-28 11:54,
上网,1.05,2015-07-28 10:33,2015-07-28 11:36,
Chaos,0.18,2015-07-28 10:22,2015-07-28 10:33,
交流,0.92,2015-07-28 09:27,2015-07-28 10:22,
Chaos,0.43,2015-07-28 09:01,2015-07-28 09:27,
交通,0.32,2015-07-28 08:42,2015-07-28 09:01,
家务,0.52,2015-07-28 08:11,2015-07-28 08:42,
睡眠,6.25,2015-07-28 01:56,2015-07-28 08:11,
Chaos,1.52,2015-07-28 00:25,2015-07-28 01:56,
家务,0.63,2015-07-27 23:47,2015-07-28 00:25,
