活动类别,持续时间,开始时间,结束时间,备注
Chaos,0.8,02/01/14 23:32,02/02/14 00:22,
阅读,0.8,02/01/14 22:44,02/01/14 23:32,
Chaos,3.0,02/01/14 19:45,02/01/14 22:44,
家务,0.4,02/01/14 19:20,02/01/14 19:45,
用餐,0.5,02/01/14 18:48,02/01/14 19:20,
Chaos,0.2,02/01/14 18:37,02/01/14 18:48,
家务,0.5,02/01/14 18:07,02/01/14 18:37,
睡眠,2.0,02/01/14 16:05,02/01/14 18:08,
O.B.P,1.2,02/01/14 14:52,02/01/14 16:05,
交通,0.0,02/01/14 14:50,02/01/14 14:52,
电影,2.2,02/01/14 12:36,02/01/14 14:50,
交通,0.6,02/01/14 12:03,02/01/14 12:36,
Chaos,3.4,02/01/14 08:41,02/01/14 12:03,
睡眠,10.3,01/31/14 22:23,02/01/14 08:41,
阅读,0.7,01/31/14 21:42,01/31/14 22:23,
Chaos,2.1,01/31/14 19:36,01/31/14 21:42,
用餐,1.4,01/31/14 18:15,01/31/14 19:36,
Chaos,0.4,01/31/14 17:50,01/31/14 18:15,
睡眠,2.0,01/31/14 15:50,01/31/14 17:51,
交通,1.0,01/31/14 14:52,01/31/14 15:50,
用餐,2.9,01/31/14 12:00,01/31/14 14:52,
交通,1.3,01/31/14 10:42,01/31/14 12:00,
用餐,0.8,01/31/14 09:55,01/31/14 10:42,
交通,0.2,01/31/14 09:41,01/31/14 09:55,
家务,0.4,01/31/14 09:14,01/31/14 09:41,
睡眠,9.2,01/31/14 00:04,01/31/14 09:14,
家务,5.4,01/30/14 18:41,01/31/14 00:04,
用餐,1.6,01/30/14 17:05,01/30/14 18:41,
Chaos,6.0,01/30/14 11:06,01/30/14 17:05,
家务,0.1,01/30/14 11:03,01/30/14 11:06,
家务,2.0,01/30/14 09:05,01/30/14 11:06,
睡眠,8.0,01/30/14 01:05,01/30/14 09:05,
GDG,3.0,01/29/14 22:05,01/30/14 01:05,
Chaos,1.7,01/29/14 20:20,01/29/14 22:00,
交通,0.3,01/29/14 20:02,01/29/14 20:20,
用餐,1.9,01/29/14 18:07,01/29/14 20:02,
交通,0.2,01/29/14 17:53,01/29/14 18:07,
Chaos,4.0,01/29/14 13:52,01/29/14 17:53,
用餐,0.9,01/29/14 12:58,01/29/14 13:52,
购物,3.2,01/29/14 09:45,01/29/14 12:58,
Chaos,1.1,01/29/14 08:40,01/29/14 09:45,
睡眠,6.8,01/29/14 01:50,01/29/14 08:40,
娱乐,0.6,01/29/14 01:15,01/29/14 01:50,
Chaos,4.7,01/28/14 20:32,01/29/14 01:15,
交通,0.3,01/28/14 20:16,01/28/14 20:32,
Chaos,0.8,01/28/14 19:31,01/28/14 20:16,
用餐,1.0,01/28/14 18:31,01/28/14 19:31,
工作,3.4,01/28/14 15:09,01/28/14 18:31,
Chaos,0.6,01/28/14 14:31,01/28/14 15:09,
交通,0.2,01/28/14 14:19,01/28/14 14:31,
Chaos,1.4,01/28/14 12:53,01/28/14 14:19,
用餐,0.4,01/28/14 12:30,01/28/14 12:53,
交通,0.4,01/28/14 12:08,01/28/14 12:30,
工作,1.6,01/28/14 10:32,01/28/14 12:08,
阅读,0.8,01/28/14 09:43,01/28/14 10:32,
GDG,0.0,01/28/14 09:42,01/28/14 09:43,
Chaos,1.1,01/28/14 08:34,01/28/14 09:42,
交通,0.1,01/28/14 08:31,01/28/14 08:34,
Chaos,1.0,01/28/14 07:29,01/28/14 08:31,
睡眠,5.7,01/28/14 01:45,01/28/14 07:29,
家务,0.2,01/28/14 01:32,01/28/14 01:45,
GDG,3.0,01/27/14 22:30,01/28/14 01:33,
Chaos,2.4,01/27/14 20:07,01/27/14 22:30,
交通,0.2,01/27/14 19:54,01/27/14 20:07,
用餐,1.5,01/27/14 18:24,01/27/14 19:54,
Chaos,0.1,01/27/14 18:17,01/27/14 18:24,
O.B.P,1.0,01/27/14 17:18,01/27/14 18:17,
Chaos,0.9,01/27/14 16:22,01/27/14 17:18,
GDG,1.8,01/27/14 14:33,01/27/14 16:22,
Chaos,1.9,01/27/14 12:40,01/27/14 14:32,
交通,0.2,01/27/14 12:31,01/27/14 12:40,
用餐,0.4,01/27/14 12:05,01/27/14 12:31,
GDG,3.2,01/27/14 08:50,01/27/14 12:05,
用餐,0.1,01/27/14 08:43,01/27/14 08:50,
交通,0.2,01/27/14 08:32,01/27/14 08:43,
家务,0.7,01/27/14 07:48,01/27/14 08:32,
睡眠,5.2,01/27/14 02:33,01/27/14 07:48,
Chaos,0.3,01/27/14 02:12,01/27/14 02:33,
交通,0.2,01/27/14 01:57,01/27/14 02:12,
GDG,4.0,01/26/14 22:00,01/27/14 01:57,
交通,0.2,01/26/14 21:45,01/26/14 22:00,
Chaos,1.4,01/26/14 20:24,01/26/14 21:45,
交通,0.2,01/26/14 20:09,01/26/14 20:24,
用餐,1.0,01/26/14 19:09,01/26/14 20:09,
交通,0.6,01/26/14 18:32,01/26/14 19:09,
GDG,4.0,01/26/14 14:30,01/26/14 18:32,
Chaos,0.8,01/26/14 13:41,01/26/14 14:30,
用餐,0.5,01/26/14 13:11,01/26/14 13:41,
GDG,4.2,01/26/14 09:02,01/26/14 13:11,
交通,0.6,01/26/14 08:27,01/26/14 09:02,
Chaos,0.6,01/26/14 07:48,01/26/14 08:27,
运动,1.0,01/26/14 06:46,01/26/14 07:48,
睡眠,5.9,01/26/14 00:51,01/26/14 06:46,
电影,1.0,01/25/14 23:53,01/26/14 00:51,
Chaos,1.0,01/25/14 22:53,01/25/14 23:53,
交通,0.3,01/25/14 22:34,01/25/14 22:53,
Chaos,2.0,01/25/14 20:37,01/25/14 22:34,
交通,0.2,01/25/14 20:28,01/25/14 20:37,
交流,6.2,01/25/14 14:17,01/25/14 20:28,
Chaos,3.4,01/25/14 10:55,01/25/14 14:17,
交通,0.3,01/25/14 10:34,01/25/14 10:55,
O.B.P,1.1,01/25/14 09:30,01/25/14 10:34,
家务,1.0,01/25/14 08:30,01/25/14 09:30,
电影,5.7,01/25/14 02:51,01/25/14 08:30,
Chaos,3.3,01/24/14 23:34,01/25/14 02:51,
用餐,0.4,01/24/14 23:11,01/24/14 23:34,
交通,0.2,01/24/14 22:58,01/24/14 23:11,
Pt0,7.2,01/24/14 15:46,01/24/14 22:58,
工作,0.8,01/24/14 14:59,01/24/14 15:46,
Chaos,0.2,01/24/14 14:44,01/24/14 14:59,
交通,0.1,01/24/14 14:39,01/24/14 14:44,
家务,0.6,01/24/14 14:05,01/24/14 14:39,
Chaos,0.8,01/24/14 13:19,01/24/14 14:05,
用餐,0.0,01/24/14 13:17,01/24/14 13:19,
交通,0.5,01/24/14 12:46,01/24/14 13:17,
Pt0,3.6,01/24/14 09:11,01/24/14 12:46,
用餐,0.2,01/24/14 09:02,01/24/14 09:11,
交通,0.4,01/24/14 08:35,01/24/14 09:02,
Chaos,0.5,01/24/14 08:06,01/24/14 08:35,
睡眠,5.0,01/24/14 03:07,01/24/14 08:06,
阅读,0.2,01/24/14 02:58,01/24/14 03:07,
Chaos,1.0,01/24/14 02:00,01/24/14 02:58,
交通,0.2,01/24/14 01:49,01/24/14 02:00,
Chaos,0.1,01/24/14 01:41,01/24/14 01:49,
娱乐,1.8,01/23/14 23:54,01/24/14 01:41,
工作,7.6,01/23/14 16:20,01/23/14 23:54,
家务,0.6,01/23/14 15:47,01/23/14 16:20,
工作,0.2,01/23/14 15:33,01/23/14 15:47,
交流,1.6,01/23/14 13:56,01/23/14 15:33,
交通,0.2,01/23/14 13:44,01/23/14 13:56,
Chaos,1.1,01/23/14 12:40,01/23/14 13:44,
用餐,0.5,01/23/14 12:10,01/23/14 12:39,
