活动类别,持续时间,开始时间,结束时间,备注
GDG,1.20,2015-04-01 23:10,2015-04-02 00:22,
GDG,1.52,2015-04-01 21:39,2015-04-01 23:10,
Chaos,0.67,2015-04-01 20:59,2015-04-01 21:39,
GDG,1.08,2015-04-01 19:54,2015-04-01 20:59,
GDG,1.12,2015-04-01 19:54,2015-04-01 21:01,
交通,0.18,2015-04-01 19:43,2015-04-01 19:54,
购物,0.07,2015-04-01 19:39,2015-04-01 19:43,
用餐,0.60,2015-04-01 19:03,2015-04-01 19:39,
交通,0.27,2015-04-01 18:47,2015-04-01 19:03,
Chaos,1.20,2015-04-01 17:35,2015-04-01 18:47,
Pt0,0.57,2015-04-01 17:01,2015-04-01 17:35,
Chaos,0.10,2015-04-01 16:55,2015-04-01 17:01,
购物,0.28,2015-04-01 16:38,2015-04-01 16:55,
Chaos,0.83,2015-04-01 15:48,2015-04-01 16:38,
交流,0.53,2015-04-01 15:16,2015-04-01 15:48,
OBP,0.57,2015-04-01 14:42,2015-04-01 15:16,
Chaos,0.40,2015-04-01 14:18,2015-04-01 14:42,
交通,0.13,2015-04-01 14:10,2015-04-01 14:18,
睡眠,0.72,2015-04-01 13:27,2015-04-01 14:10,
家务,0.47,2015-04-01 12:59,2015-04-01 13:27,
交通,0.27,2015-04-01 12:43,2015-04-01 12:59,
用餐,0.57,2015-04-01 12:09,2015-04-01 12:43,
Pt0,0.92,2015-04-01 11:14,2015-04-01 12:09,
Chaos,0.05,2015-04-01 11:11,2015-04-01 11:14,
交流,0.70,2015-04-01 10:29,2015-04-01 11:11,
Chaos,1.00,2015-04-01 09:29,2015-04-01 10:29,
交通,0.33,2015-04-01 09:09,2015-04-01 09:29,
用餐,0.22,2015-04-01 08:56,2015-04-01 09:09,
交通,0.27,2015-04-01 08:40,2015-04-01 08:56,
家务,0.58,2015-04-01 08:05,2015-04-01 08:40,
睡眠,6.72,2015-04-01 01:22,2015-04-01 08:05,
家务,0.80,2015-04-01 00:34,2015-04-01 01:22,
交通,0.13,2015-04-01 00:26,2015-04-01 00:34,
用餐,1.18,2015-03-31 23:15,2015-04-01 00:26,
学习,1.07,2015-03-31 22:11,2015-03-31 23:15,
Pt0,0.08,2015-03-31 22:06,2015-03-31 22:11,
Chaos,0.68,2015-03-31 21:25,2015-03-31 22:06,
Pt0,2.48,2015-03-31 18:56,2015-03-31 21:25,
学习,0.37,2015-03-31 18:34,2015-03-31 18:56,
Chaos,1.20,2015-03-31 17:22,2015-03-31 18:34,
GDG,2.80,2015-03-31 14:34,2015-03-31 17:22,
Chaos,0.13,2015-03-31 14:26,2015-03-31 14:34,
交通,0.28,2015-03-31 14:09,2015-03-31 14:26,
